CODE,OWNER,STATUS,CATEGORY_MEANING_E,CATEGORY_MEANING_F,UNITS_DESCRIPTOR_E,UNITS_DESCRIPTOR_F,CF_CODE,NETCDF_LONG_NAME,WMO_CODE_TABLE_ID,CONVENTION
TEMP,IML,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,,,
TEMP,MEDS,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,sea_water_temperature,water_temperature,,
TEMP,NODC,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,,,
TEP$,MEDS,A,Wave,Vague,metre square,mètre carré,,,,
TER$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,
TER$,NODC,A,Date and time within day,Date et temps dans une journée,hour,heure,,,,
TEXT,BIO,A,General purpose,Tout usage,dimensionless,sans dimension,,,,
TEXT,IML,A,General purpose,Tout usage,dimensionless,sans dimension,,,,
TEXT,MEDS,A,General purpose,Tout usage,text,texte,,,,
TFF$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,
TFF$,NODC,A,Date and time within day,Date et temps dans une journée,text,texte,,,,
TFS$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,
TFS$,NODC,A,Date and time within day,Date et temps dans une journée,hour,heure,,,,
TGP$,MEDS,A,Time and frequency,Temps et fréquence,second,seconde,,,,
TGRD,MEDS,A,Physical Oceanography,Océanographie physique,degree Celsius per metre,degré Celsius par mètre,,,,
TH1$,MEDS,A,Water Level,Niveau d'eau,text,texte,,,,
TH2$,MEDS,A,Water Level,Niveau d'eau,text,texte,,,,
TILT,BIO,A,Instrument characteristics,Caractéristiques de l'instrument,degree(angle),degré(angle),,,,
TILT,IML,A,Instrument characteristics,Caractéristiques de l'instrument,degree(angle),degré(angle),,,,
TIM#,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,
TIME,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,
TIME,NODC,A,Date and time within day,Date et temps dans une journée,text,texte,,,,
TIMP,NODC,A,Instrument characteristics,Caractéristiques de l'instrument,number,nombre,,,,
TIN1,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,
TKI$,MEDS,A,Data Operation,Opération sur données,text,texte,,,,
TL1$,MEDS,A,Water Level,Niveau d'eau,text,texte,,,,
TL2$,MEDS,A,Water Level,Niveau d'eau,text,texte,,,,
TMN$,MEDS,A,Water Level,Niveau d'eau,text,texte,,,,
TMX$,MEDS,A,Water Level,Niveau d'eau,text,texte,,,,
TOFF,BIO,A,Date and time within day,Date et temps dans une journée,second,seconde,,,,
TOTP,BIO,A,Physical Oceanography,Océanographie physique,decibar,decibar,,,,
TOTP,IML,A,Physical Oceanography,Océanographie physique,decibar,decibar,,,,
TOTP,MEDS,A,Physical Oceanography,Océanographie physique,decibar,decibar,,,,
TPHS,BIO,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,
TPHS,IML,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,
TPHS,MEDS,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,
TPHS,NODC,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,
TRAN,BIO,A,Biological Oceanography,Océanographie biologique,percent per metre,pourcentage par mètre,,,,
TRAN,IML,A,Biological Oceanography,Océanographie biologique,percent,pourcentage,,,,
TRAN,MEDS,A,Physical Oceanography,Océanographie physique,percent,pourcentage,,,,
TRAN,NODC,A,Biological Oceanography,Océanographie biologique,text,texte,,,,
TRB$,MEDS,A,Physical Oceanography,Océanographie physique,Formazin Turbidity Unit,unité formazine,sea_water_turbidity,water_turbidity,,
TRB%,NODC,A,Physical Oceanography,Océanographie physique,Formazin Turbidity Unit,unité formazine,,,,
TSD$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,
TSD$,NODC,A,Date and time within day,Date et temps dans une journée,hour,heure,,,,
TSG$,MEDS,A,Physical Oceanography,Océanographie physique,text,texte,,,,
TSM$,MEDS,A,Biological Oceanography,Océanographie biologique,gram per metre cube,gramme par mètre cube,,,,
TSM_,IML,A,Biological Oceanography,Océanographie biologique,gram per metre cube,gramme par mètre cube,,,,
TSS$,MEDS,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,mass_concentration_of_suspended_matter_in_sea_water,,,
TUR$,MEDS,A,Physical Oceanography,Océanographie physique,percent,pourcentage,,,,
TUR$,NODC,A,Physical Oceanography,Océanographie physique,percent,pourcentage,,,,
TUR4,NODC,A,Physical Oceanography,Océanographie physique,Nephelometric Turbidity Units,Unités de turbidité néphélométrique,,,,
TURB,BIO,A,Physical Oceanography,Océanographie physique,Formazine Turbidity Unit ,Unité de Turbidité Formazine,,,,
TWCT,MEDS,A,Meteorology,Météorologie,gram per metre cube,gramme par mètre cube,,,,
TWI#,NODC,A,General purpose,Tout usage,text,texte,,,,
TWTT,MEDS,A,Geophysics,Géophysique,second,seconde,,,,
Temperature,IOS,A,Physical Oceanography,Océanographie physique,degrees Celsius (IPTS-68),degrés Celsius (IPTS-68),,,,
Temperature,IOS,A,Physical Oceanography,Océanographie physique,degrees Celsius (ITS-90),degrés Celsius (ITS-90),,,,
Temperature,IOS,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,,,
Temperature,IOS,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,,,
Temperature:BT,IOS,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,,,
Temperature:Bucket,IOS,A,Physical Oceanography,Océanographie physique,degrees Celsius (IPTS-68),degrés Celsius (IPTS-68),,,,
Temperature:Primary,IOS,A,Physical Oceanography,Océanographie physique,degrees Celsius (ITS-90),degrés Celsius (ITS-90),,,,
Temperature:Primary,IOS,A,Physical Oceanography,Océanographie physique,degrees Celsius (IPTS-68),degrés Celsius (IPTS-68),,,,
Temperature:Reversing,IOS,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,,,
Temperature:Reversing,IOS,A,Physical Oceanography,Océanographie physique,degrees Celsius (IPTS-68),degrés Celsius (IPTS-68),,,,
Temperature:Secondary,IOS,A,Physical Oceanography,Océanographie physique,degrees Celsius (ITS-90),degrés Celsius (ITS-90),,,,
Temperature:Secondary,IOS,A,Physical Oceanography,Océanographie physique,degrees Celsius (IPTS-68),degrés Celsius (IPTS-68),,,,
Thickness:Ice,IOS,A,Physical Oceanography,Océanographie physique,metre,mètre,,,,
Time,IOS,A,Date and time within day,Date et temps dans une journée,unknown,inconnu,,,,
Total_Suspended_Solids,IOS,A,Biology,Biologie,part per million by volume,partie par million de volume,,,,
Total_Suspended_Solids,IOS,A,Biology,Biologie,milligram per litre,milligramme par litre,,,,
Transmissivity,IOS,A,Biological Oceanography,Océanographie biologique,percent per metre,pourcentage par mètre,,,,
Transmissivity,IOS,A,Optical properties,Propriétées optiques,percent per five centimeters,pourcent par cinq centimètres,,,,
UID$,MEDS,A,Meteorology,Météorologie,unknown,inconnu,,,,
UIM$,MEDS,A,Meteorology,Météorologie,unknown,inconnu,,,,
UKH$,NODC,A,General purpose,Tout usage,text,texte,,,,
ULTR,MEDS,A,Meteorology,Météorologie,watt per metre square,watt par mètre carré,,,,
UND#,MEDS,A,General purpose,Tout usage,code table,table de code,,,,
UNKN,BIO,A,General purpose,Tout usage,dimensionless,sans dimension,,,,
UNKN,IML,A,General purpose,Tout usage,dimensionless,sans dimension,,,,
UPD$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,
URE$,MEDS,A,Biological Oceanography,Océanographie biologique,millimole per metre cube,millimole par mètre cube,,,,
URE$,NODC,A,Biological Oceanography,Océanographie biologique,millimole per metre cube,millimole par mètre cube,,,,
URE_,IML,A,Biological Oceanography,Océanographie biologique,millimole per metre cube,millimole par mètre cube,,,,
USAL,MEDS,A,Physical Oceanography,Océanographie physique,number,nombre,sea_water_salinity,,,
USAL,NODC,A,Physical Oceanography,Océanographie physique,text,texte,,,,
VAIS,BIO,A,Physical Oceanography,Océanographie physique,hertz,hertz,,,,
VAIS,IML,A,Physical Oceanography,Océanographie physique,hertz,hertz,,,,
VAP1,MEDS,A,Wave,Vague,second,seconde,,,,
VAPP,MEDS,A,Meteorology,Météorologie,hectopascal,hectopascal,,,,
VAV1,MEDS,A,Wave,Vague,metre,mètre,,,,
VAV2,MEDS,A,Wave,Vague,metre,mètre,,,,
VAVH,MEDS,A,Wave,Vague,metre,mètre,,,,
VBRF,MEDS,A,Wave,Vague,number,nombre,,,,
VCA$,MEDS,A,Wave,Vague,second,seconde,,,,
VCAR,MEDS,A,Wave,Vague,metre,mètre,,,,
VCH1,MEDS,A,Wave,Vague,metre,mètre,,,,
VCMX,MEDS,A,Wave,Vague,metre,mètre,,,,
VCP1,MEDS,A,Wave,Vague,metre,mètre,,,,
VCP2,MEDS,A,Wave,Vague,metre,mètre,,,,
VCR1,MEDS,A,Wave,Vague,metre,mètre,,,,
VCS$,MEDS,A,Wave,Vague,metre,mètre,,,,
VCSP,BIO,A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,,,
VCSP,IML,A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,,,
VCXX,MEDS,A,Wave,Vague,degree(angle) square per hertz,degré(angle) carré par hertz,,,,
VCXY,MEDS,A,Wave,Vague,degree(angle) square per hertz,degré(angle) carré par hertz,,,,
VCYY,MEDS,A,Wave,Vague,degree(angle) square per hertz,degré(angle) carré par hertz,,,,
VCZX,MEDS,A,Wave,Vague,metre degree(angle) per hertz,mètre degré(angle) par hertz,,,,
VCZY,MEDS,A,Wave,Vague,metre degree(angle) per hertz,mètre degré(angle) par hertz,,,,
VDEP,MEDS,A,Wave,Vague,degree(angle),degré(angle),,,,
VDIC,NODC,A,Wave,Vague,code table,table de code,,,,
VDIR,MEDS,A,Wave,Vague,degree(angle),degré(angle),,,,
VDIR,NODC,A,Wave,Vague,degree(angle),degré(angle),,,,
VDSD,MEDS,A,Wave,Vague,metre square per hertz,mètre carré par hertz,,,,
VEI1,MEDS,A,Wave,Vague,number,nombre,,,,
VEM1,MEDS,A,Wave,Vague,number,nombre,,,,
VEN1,MEDS,A,Wave,Vague,number,nombre,,,,
VERS,MEDS,A,General purpose,Tout usage,text,texte,,,,
VERT,MEDS,A,Position and navigation,Position et navigation,metre,mètre,,,,
VEST,MEDS,A,Wave,Vague,metre,mètre,,water_surface_wave_average_height_visual,,
VEST,NODC,A,Wave,Vague,metre,mètre,,,,
VEX1,MEDS,A,Wave,Vague,number,nombre,,,,
VFF1,MEDS,A,General purpose,Tout usage,code table,table de code,,,,
VILX,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,
VIRT,MEDS,A,Meteorology,Météorologie,degree Celsius,degré Celsius,,,,
VIS#,NODC,A,Meteorology,Météorologie,code table,table de code,,,,
VIS$,MEDS,A,Meteorology,Météorologie,code table,table de code,,,4300,
VISB,MEDS,A,Meteorology,Météorologie,metre,mètre,,,4300,
VISB,NODC,A,Meteorology,Météorologie,code table,table de code,,,,
VISC,NODC,A,Meteorology,Météorologie,code table,table de code,,,,
VMD1,MEDS,A,Wave,Vague,degree(angle),degré(angle),,,,
VMD2,MEDS,A,Wave,Vague,degree(angle),degré(angle),,,,
VMED,MEDS,A,Wave,Vague,degree(angle),degré(angle),,,,
VMNL,MEDS,A,Wave,Vague,metre,mètre,,,,
VMTA,MEDS,A,Wave,Vague,metre square,mètre carré,,,,
VMTB,MEDS,A,Wave,Vague,metre square hertz,mètre carré hertz,,,,
VMTC,MEDS,A,Wave,Vague,metre square hertz square,mètre carré hertz carré,,,,
VMTD,MEDS,A,Wave,Vague,metre square hertz cube,mètre carré hertz cube,,,,
VMTE,MEDS,A,Wave,Vague,metre square hertz exponent four,mètre carré hertz exposant quatre,,,,
VMTM,MEDS,A,Wave,Vague,metre square per hertz,mètre carré par hertz,,,,
VMTN,MEDS,A,Wave,Vague,metre square per hertz square,mètre carré par hertz carré,,,,
VMWD,MEDS,A,Wave,Vague,degree(angle),degré(angle),,,,
VMX1,MEDS,A,Wave,Vague,metre,mètre,,,,
VMX2,MEDS,A,Wave,Vague,metre,mètre,,,,
VMXL,MEDS,A,Wave,Vague,metre,mètre,,,,
VNI1,MEDS,A,Wave,Vague,number,nombre,,,,
VNM1,MEDS,A,Wave,Vague,number,nombre,,,,
VNN1,MEDS,A,Wave,Vague,number,nombre,,,,
VNR1,MEDS,A,Wave,Vague,number,nombre,,,,
VNS1,MEDS,A,Wave,Vague,number,nombre,,,,
VNUM,MEDS,A,Wave,Vague,degree(angle) per metre,degré(angle) par mètre,,,,
VNX1,MEDS,A,Wave,Vague,number,nombre,,,,
VPA$,MEDS,A,Wave,Vague,second,seconde,,,,
VPD1,MEDS,A,Wave,Vague,degree(angle),degré(angle),,,,
VPD2,MEDS,A,Wave,Vague,degree(angle),degré(angle),,,,
VPED,MEDS,A,Wave,Vague,degree(angle),degré(angle),,,,
VPER,MEDS,A,Wave,Vague,second,seconde,,water_surface_wave_period_visual_estimate,,
VPER,NODC,A,Wave,Vague,second,seconde,,,,
VPK1,MEDS,A,Wave,Vague,number,nombre,,,,
VPM$,MEDS,A,Wave,Vague,second,seconde,,,,
VPN1,MEDS,A,Wave,Vague,second,seconde,,,,
VQXY,MEDS,A,Wave,Vague,degree(angle) square per hertz,degré(angle) carré par hertz,,,,
VQZX,MEDS,A,Wave,Vague,metre degree(angle) per hertz,mètre degré(angle) par hertz,,,,
VQZY,MEDS,A,Wave,Vague,metre degree(angle) per hertz,mètre degré(angle) par hertz,,,,
VRAT,MEDS,A,Meteorology,Météorologie,degree Celsius square,degré Celsius carré,,,,
VRHU,MEDS,A,Meteorology,Météorologie,gram square per kilogram square,gramme carré par kilogramme carré,,,,
VRMS,MEDS,A,Wave,Vague,metre,mètre,,,,
VRWS,MEDS,A,Meteorology,Météorologie,metre square per second square,mètre carré par seconde carré,,,,
VSAP,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,volt per second,volt par seconde,,,,
VSB#,MEDS,A,Meteorology,Météorologie,code table,table de code,,,4300,
VSB#,NODC,A,Meteorology,Météorologie,code table,table de code,,,,
VSDN,MEDS,A,Wave,Vague,metre square per hertz,mètre carré par hertz,,,,
VSMA,MEDS,A,Wave,Vague,second,seconde,,,,
VSMB,MEDS,A,Wave,Vague,second,seconde,,,,
VSMC,MEDS,A,Wave,Vague,second,seconde,,,,
VSMD,MEDS,A,Wave,Vague,second,seconde,,,,
VSN1,MEDS,A,Wave,Vague,metre square per hertz,mètre carré par hertz,,,,
VSP1,MEDS,A,Wave,Vague,degree(angle),degré(angle),,,,
VSP2,MEDS,A,Wave,Vague,degree(angle),degré(angle),,,,
VSPR,MEDS,A,Wave,Vague,degree(angle),degré(angle),,,,
VST1,MEDS,A,Wave,Vague,number,nombre,,,,
VSWD,MEDS,A,Wave,Vague,number,nombre,,,,
VSX1,MEDS,A,Wave,Vague,metre square per hertz,mètre carré par hertz,,,,
VSX2,MEDS,A,Wave,Vague,metre square per hertz,mètre carré par hertz,,,,
VTCA,MEDS,A,Wave,Vague,second,seconde,,,,
VTD1,MEDS,A,Wave,Vague,second,seconde,,,,
VTDH,MEDS,A,Wave,Vague,metre,mètre,,,,
VTKC,MEDS,A,Wave,Vague,metre,mètre,,,,
VTKD,MEDS,A,Wave,Vague,metre,mètre,,,,
VTP$,MEDS,A,Wave,Vague,second,seconde,,,,
VTP1,MEDS,A,Wave,Vague,second,seconde,,,,
VTPK,MEDS,A,Wave,Vague,second,seconde,,,,
VTS$,MEDS,A,Wave,Vague,second,seconde,,,,
VTZA,MEDS,A,Wave,Vague,second,seconde,,,,
VTZM,MEDS,A,Wave,Vague,second,seconde,,,,
VWH$,MEDS,A,Wave,Vague,metre,mètre,,,,
VWSA,MEDS,A,Wave,Vague,metre per second square,mètre par seconde carré,,,,
VWSE,MEDS,A,Wave,Vague,metre,mètre,,,,
VWSH,MEDS,A,Meteorology,Météorologie,metre per second per kilometre,mètre par seconde par kilomètre,,,,
VWTE,MEDS,A,Wave,Vague,degree(angle),degré(angle),,,,
VWTN,MEDS,A,Wave,Vague,degree(angle),degré(angle),,,,
VXH$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,
VXL$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,
VXS1,MEDS,A,Wave,Vague,number,nombre,,,,
VZA1,MEDS,A,Wave,Vague,second,seconde,,,,
VZA2,MEDS,A,Wave,Vague,second,seconde,,,,
VZMX,MEDS,A,Wave,Vague,metre,mètre,,,,
VZS$,MEDS,A,Wave,Vague,second,seconde,,,,
WAIT,MEDS,A,Methods,Méthodes,number,nombre,,,,
WAT$,NODC,A,Instrument characteristics,Caractéristiques de l'instrument,text,texte,,,,
WCF$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,
WCF$,NODC,A,General purpose,Tout usage,text,texte,,,,
WCL$,NODC,A,Physical Oceanography,Océanographie physique,text,texte,,,,
WCLR,MEDS,A,Physical Oceanography,Océanographie physique,code table,table de code,,,,
WCLR,NODC,A,Physical Oceanography,Océanographie physique,code table,table de code,,,,
WDC$,MEDS,A,Meteorology,Météorologie,code table,table de code,,,,
WDC$,NODC,A,Meteorology,Météorologie,text,texte,,,,
WDIC,NODC,A,Meteorology,Météorologie,code table,table de code,,,877,
WDIR,BIO,A,Meteorology,Météorologie,degree(angle),degré(angle),,,,True
WDIR,IML,A,Meteorology,Météorologie,degree(angle),degré(angle),,,,ToTrue
WDIR,MEDS,A,Meteorology,Météorologie,degree(angle),degré(angle),wind_from_direction,wind_from_direction_true,,FromTrue
WDIR,NODC,A,Meteorology,Météorologie,degree(angle),degré(angle),,,,FromTrue
WDR#,MEDS,A,Meteorology,Météorologie,code table,table de code,,,877,From
WDR#,NODC,A,Meteorology,Météorologie,code table,table de code,,,8770885,
WETT,BIO,A,Meteorology,Météorologie,degree Celsius,degré Celsius,,,,
WETT,IML,A,Meteorology,Météorologie,degree Celsius,degré Celsius,,,,
WETT,MEDS,A,Meteorology,Météorologie,degree Celsius,degré Celsius,,,,
WETT,NODC,A,Meteorology,Météorologie,degree Celsius,degré Celsius,,,,
WFBS,MEDS,A,Meteorology,Météorologie,code table,table de code,,,,
WFBS,NODC,A,Meteorology,Météorologie,code table,table de code,,,,
WFR1,MEDS,A,Meteorology,Météorologie,metre per second,mètre par seconde,,,,
WHT$,MEDS,A,Wave,Vague,metre,mètre,,,,
WIR$,MEDS,A,Physical Oceanography,Océanographie physique,metre,mètre,,,,
WMDP,MEDS,A,Wave,Vague,metre,mètre,,,,
WMO$,MEDS,A,General purpose,Tout usage,text,texte,,,,
WOI$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,
WPR$,MEDS,A,Wave,Vague,second,seconde,,,,
WRDP,MEDS,A,Wave,Vague,metre,mètre,,,,
WSC$,MEDS,A,Meteorology,Météorologie,code table,table de code,,,,
WSC$,NODC,A,Meteorology,Météorologie,text,texte,,,,
WSDP,MEDS,A,Wave,Vague,metre,mètre,,,,
WSP#,MEDS,A,Meteorology,Météorologie,knot,noeud,,,,
WSP#,NODC,A,Meteorology,Météorologie,knot,noeud,,,,
WSPD,BIO,A,Meteorology,Météorologie,metre per second,mètre par seconde,,,,
WSPD,IML,A,Meteorology,Météorologie,metre per second,mètre par seconde,,,,
WSPD,MEDS,A,Meteorology,Météorologie,metre per second,mètre par seconde,wind_speed,horizontal_wind_speed,,
WSPD,NODC,A,Meteorology,Météorologie,metre per second,mètre par seconde,,,,
WSPE,BIO,A,Meteorology,Météorologie,metre per second,mètre par seconde,,,,True
WSPE,IML,A,Meteorology,Météorologie,metre per second,mètre par seconde,,,,True
WSPE,MEDS,A,Meteorology,Météorologie,metre per second,mètre par seconde,,,,True
WSPN,BIO,A,Meteorology,Météorologie,metre per second,mètre par seconde,,,,True
WSPN,IML,A,Meteorology,Météorologie,metre per second,mètre par seconde,,,,True
WSPN,MEDS,A,Meteorology,Météorologie,metre per second,mètre par seconde,,,,True
WSS$,MEDS,A,Meteorology,Météorologie,metre per second,mètre par seconde,,,,
WTHA,MEDS,A,Meteorology,Météorologie,code table,table de code,,,4561,
WVD#,MEDS,A,Wave,Vague,code table,table de code,,,,FromTrue
WVD#,NODC,A,Wave,Vague,code table,table de code,,,877,
WVER,BIO,A,Meteorology,Météorologie,metre per second,mètre par seconde,,,,
WVER,IML,A,Meteorology,Météorologie,metre per second,mètre par seconde,,,,
WVER,MEDS,A,Meteorology,Météorologie,metre per second,mètre par seconde,,,,
WVH#,MEDS,A,Wave,Vague,code table,table de code,,,1555,
WVH#,NODC,A,Wave,Vague,code table,table de code,,,1555,
WVH$,NODC,A,Wave,Vague,text,texte,,,1555,
WVP#,MEDS,A,Wave,Vague,code table,table de code,,,3155,
WVP#,NODC,A,Wave,Vague,code table,table de code,,,,
WVP$,NODC,A,Wave,Vague,text,texte,,,3155,
WVR#,NODC,A,Wave,Vague,code table,table de code,,,8770885,
WWC#,NODC,A,Meteorology,Météorologie,code table,table de code,,,4501,
WWCD,MEDS,A,Meteorology,Météorologie,code table,table de code,,present_weather_from_manned_station_wmo_table_4677,4677,
WWCD,NODC,A,Meteorology,Météorologie,code table,table de code,,,4677,
XCD#,MEDS,A,Physical Oceanography,Océanographie physique,metre,mètre,,,,
XCDP,NODC,A,Position and navigation,Position et navigation,metre,mètre,,,,
XCT#,MEDS,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,,,
XCTM,NODC,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,,,
XDIN,NODC,A,Time and frequency,Temps et fréquence,text,texte,,,,
XDMT,NODC,A,Methods,Méthodes,text,texte,,,,
XEQ$,MEDS,A,Physical Oceanography,Océanographie physique,code table,table de code,,,,
XINS,NODC,A,Instrument characteristics,Caractéristiques de l'instrument,text,texte,,,,
XTRK,MEDS,A,Position and navigation,Position et navigation,metre,mètre,,,,
XTRS,NODC,A,Methods,Méthodes,text,texte,,,,
YEA#,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,
YEAR,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,
YEAR,NODC,A,Date and time within day,Date et temps dans une journée,text,texte,,,,
ZELU,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,
ZEOX,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,
ZNTH,BIO,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,,,
ZNTH,IML,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,,,
ZNTH,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,,,
ZONE,MEDS,A,Date and time within day,Date et temps dans une journée,hour,heure,,,,
pH:NBS,IOS,A,Chemistry,Chimie,unknown,inconnu,,,,
pH:SBE,IOS,A,Chemistry,Chimie,unknown,inconnu,,,,
pH:SWS,IOS,A,Chemistry,Chimie,unknown,inconnu,,,,
