ios_name,accepted_units,equivalent_to,apply_func,datatype,long_name,standard_name,units,scale,sdn_parameter_urn,sdn_parameter_name,sdn_uom_urn,sdn_uom_name,rename,need_review,file,ios_type,file_extension
hplc:but-fuco,mg\/m\^3,,,float32,HPLC But-fuco,,mg/m^3,,SDN:P01::BUTAMHP1,,,,,,532.0,F,{'CHE'}
hplc:c2mgdg,mg\/m\^3,,,float32,HPLC C2mgdg,,mg/m^3,,,,,,,,159.0,F,{'CHE'}
hplc:chl-a,mg\/m\^3,,,float32,HPLC Chl-a,,mg/m^3,,SDN:P01::CPHLMHP1,,,,,,532.0,F,{'CHE'}
hplc:chl-b,mg\/m\^3,,,float32,HPLC Chl-b,,mg/m^3,,SDN:P01::CHLBMHP1,,,,,,532.0,F,{'CHE'}
hplc:chl-c1,mg\/m\^3,,,float32,HPLC Chl-c1,,mg/m^3,,,,,,,,391.0,F,{'CHE'}
hplc:chl-c2,mg\/m\^3,,,float32,HPLC Chl-c2,,mg/m^3,,SDN:P01::COCHWA07,,,,,,532.0,F,{'CHE'}
hplc:chl-c3,mg\/m\^3,,,float32,HPLC Chl-c3,,mg/m^3,,SDN:P01::CLC3MHP1,,,,,,532.0,F,{'CHE'}
hplc:chlide-a,mg\/m\^3,,,float32,HPLC Chlide-a,,mg/m^3,,SDN:P01::CIDAMHP1,,,,,,518.0,F,{'CHE'}
hplc:diadino,mg\/m\^3,,,float32,HPLC Diadino,,mg/m^3,,SDN:P01::DIADMHP1,,,,,,532.0,F,{'CHE'}
hplc:diato,mg\/m\^3,,,float32,HPLC Diato,,mg/m^3,,SDN:P01::DIATMHP1,,,,,,532.0,F,{'CHE'}
hplc:dvchl-a,mg\/m\^3,,,float32,HPLC DVChl-a,,mg/m^3,,SDN:P01::DVCAMHP1,,,,,,532.0,F,{'CHE'}
hplc:fuco,mg\/m\^3,,,float32,HPLC Fuco,,mg/m^3,,SDN:P01::FUCXMHP1,,,,,,532.0,F,{'CHE'}
hplc:hex-fuco,mg\/m\^3,,,float32,HPLC Hex-fuco,,mg/m^3,,SDN:P01::HEXAMHP1,,,,,,532.0,F,{'CHE'}
hplc:lut,mg\/m\^3,,,float32,HPLC Lut,,mg/m^3,,SDN:P01::LUTNMHP1,,,,,,504.0,F,{'CHE'}
hplc:me-chlide,mg\/m\^3,,,float32,HPLC Me-chlide,,mg/m^3,,,,,,,,406.0,F,{'CHE'}
hplc:mgdvp,mg\/m\^3,,,float32,HPLC MgDVP,,mg/m^3,,,,,,,,424.0,F,{'CHE'}
hplc:neo,mg\/m\^3,,,float32,HPLC Neo,,mg/m^3,,SDN:P01::NEOXMHP1,,,,,,532.0,F,{'CHE'}
hplc:peri,mg\/m\^3,,,float32,HPLC Peri,,mg/m^3,,SDN:P01::PERIMHP1,,,,,,532.0,F,{'CHE'}
hplc:phe,mg\/m\^3,,,float32,HPLC Phe,,mg/m^3,,SDN:P01::COPHWA09,,,,,,439.0,F,{'CHE'}
hplc:phe-a,mg\/m\^3,,,float32,HPLC Phe-a,,mg/m^3,,SDN:P01::COPHWA09,,,,,,57.0,F,{'CHE'}
hplc:pheide-a,mg\/m\^3,,,float32,HPLC Pheide-a,,mg/m^3,,,,,,,,496.0,F,{'CHE'}
hplc:pras,mg\/m\^3,,,float32,HPLC Pras,,mg/m^3,,SDN:P01::COPRWA11,,,,,,532.0,F,{'CHE'}
hplc:tchl-a,mg\/m\^3,,,float32,HPLC TChl-a,,mg/m^3,,,,,,,,532.0,F,{'CHE'}
hplc:viola,mg\/m\^3,,,float32,HPLC Viola,,mg/m^3,,SDN:P01::VILXMHP1,,,,,,532.0,F,{'CHE'}
hplc:zea,mg\/m\^3,,,float32,HPLC Zea,,mg/m^3,,SDN:P01::ZEAXMHP1,,,,,,532.0,F,{'CHE'}
humidity:relative,%,,,int32,Humidity Relative,,%,,,,,,,,,,
humidity:relative:inside,%,,,int32,Humidity Relative Inside,,%,,,,,,,,,,
hydrogen-sulphide,microg-at\/l,,,float32,Hydrogen-sulphide,,microg-at/l,,SDN:P01::H2SXZZXX,,,,,,210.0,' ',{'BOT'}
hydrogen_sulfide,umol\/L,,,float32,Hydrogen Sulfide,mole_concentration_of_hydrogen_sulfide_in_sea_water,umol/L,,SDN:P01::H2SXZZXX,,,,,,1.0,F7.2,{'CHE'}
ins:location,,,,NQ,INS LOCATION,,,,,,,,,,,,
instr_depth,,,,float32,Instrument Depth,instrument_depth,,,,,,,,,,,
iodine129,10exp7 at\/L,,,float32,Iodine129,,10exp7 at/L,,,,,,,,4.0,F8.2,{'CHE'}
iodine129uncert,10exp7 at\/L,,,float32,Iodine129uncert,,10exp7 at/L,,,,,,,,4.0,F8.2,{'CHE'}
iodine:isotope:129,10exp7 at\/L,,,float32,Iodine Isotope 129,,10exp7 at/L,,,,,,,,3.0,F8.2,{'CHE'}
iodine:isotope:129:uncertainty,10exp7 at\/L,,,float32,Iodine Isotope 129 Uncertainty,,10exp7 at/L,,,,,,,,3.0,F8.2,{'CHE'}
iron:filtered:buffered:0.03,nmol\/L,,,float32,Iron Filtered Buffered 0.03,mole_concentration_of_dissolved_iron_in_sea_water,nmol/L,,SDN:P01::FEXXCLDX ?,,,,,,23.0,F7.2,{'BOT'}
iron:filtered:buffered:0.1,nmol\/L,,,float32,Iron Filtered Buffered 0.1,mole_concentration_of_dissolved_iron_in_sea_water,nmol/L,,SDN:P01::FEXXCLDX ?,,,,,,48.0,F7.2,{'BOT'}
iron:filtered:buffered:0.22,nmol\/L,,,float32,Iron Filtered Buffered 0.22,mole_concentration_of_dissolved_iron_in_sea_water,nmol/L,,SDN:P01::FEXXCLDX ?,,,,,,167.0,F7.2,{'BOT'}
iron:filtered:buffered:0.45,nmol\/L,,,float32,Iron Filtered Buffered 0.45,mole_concentration_of_dissolved_iron_in_sea_water,nmol/L,,SDN:P01::FEXXCLDX ?,,,,,,45.0,F,{'BOT'}
iron:filtered:buffered:200kdalton,nmol\/L,,,float32,Iron Filtered Buffered 200kDalton,mole_concentration_of_dissolved_iron_in_sea_water,nmol/L,,SDN:P01::FEXXCLDX ?,,,,,,8.0,F7.2,{'BOT'}
iron:filtered:strongacid:0.22,nmol\/L,,,float32,Iron Filtered StrongAcid 0.22,mole_concentration_of_dissolved_iron_in_sea_water,nmol/L,,SDN:P01::FEXXCLDX ?,,,,,,21.0,F7.2,{'BOT'}
iron:filtered:strongacid:geo:0.22,nmol\/L,,,float32,Iron Filtered StrongAcid Geo 0.22,mole_concentration_of_dissolved_iron_in_sea_water,nmol/L,,SDN:P01::FEXXCLDX ?,,,,,,3.0,F7.2,{'CHE'}
iron:filtered:strongacid:mv:0.22,nmol\/L,,,float32,Iron Filtered StrongAcid MV 0.22,mole_concentration_of_dissolved_iron_in_sea_water,nmol/L,,SDN:P01::FEXXCLDX ?,,,,,,82.0,F7.2,{'BOT'}
iron:unfiltered:buffered,nmol\/L,,,float32,Iron Unfiltered Buffered,mole_concentration_of_dissolved_iron_in_sea_water,nmol/L,,SDN:P01::FEXXCLDX,,,,,,239.0,F7.2,{'BOT'}
iron:unfiltered:geo:strongacid,nmol\/L,,,float32,Iron Unfiltered Geo StrongAcid,mole_concentration_of_dissolved_iron_in_sea_water,nmol/L,,SDN:P01::FEXXCLDX,,,,,,7.0,F7.2,{'BOT'}
iron:unfiltered:strongacid,nmol\/L,,,float32,Iron Unfiltered StrongAcid,mole_concentration_of_dissolved_iron_in_sea_water,nmol/L,,SDN:P01::FEXXCLDX,,,,,,1.0,F7.2,{'CHE'}
iron:unfiltered:strongacid:mv,nmol\/L,,,float32,Iron Unfiltered StrongAcid MV,mole_concentration_of_dissolved_iron_in_sea_water,nmol/L,,SDN:P01::FEXXCLDX,,,,,,95.0,F7.2,{'BOT'}
iss_reception,,,,HH:MM:SS,ISS Reception,,,,,,,,,,,,
julian,Record,,,float32,Julian,,Record,,,,,,,,2.0,F7.0,{'ANE'}
kraft-mill_effluent,ppm,,,float32,Kraft-Mill Effluent,,ppm,,,,,,,,11.0,F,{'BOT'}
lat,degrees,,,float32,Latitude,latitude,degrees,,,,,,,,,,
latitude,degrees,,,float32,Latitude,latitude,degrees,,SDN:P01::ALATZZ01,,,,,,,,
lon,degrees,,,float32,Longitude,longitude,degrees,,,,,,,,,,
longitude,degrees,,,float32,Longitude,longitude,degrees,,SDN:P01::ALONZZ01,,,,,,,,
methane,nmol\/L,,,float32,Methane,,nmol/L,,SDN:P01::CH4CGCXX,,,,,,2.0,F7.1,{'CHE'}
methylene_chloride,pmol\/L,,,float32,Methylene Chloride,,pmol/L,,,,,,,,11.0,F7.2,{'CHE'}
nanophytoplankton,\/mL,,,f10.2,Nanophytoplankton,,/mL,,SDN:P01::PU00A01B,,,,,,49.0,f10.2,{'CHE'}
nitrate,microg-at/l,,,' ',Nitrate,,microg-at/l,,,,,,,,210.0,' ',{'BOT'}
nitrate,microg-at\/l,,,,,,microg-at/l,,,,,,,,,,
nitrate,umol\/L,,,float32,Nitrate,mole_concentration_of_nitrate_in_sea_water,umol/L,,SDN:P01::NTRAZZXX,,,,,,68.0,F,{'CHE'}
nitrate_plus_nitrite,ug-at\/L,,,float32,Nitrate plus Nitrite,,ug-at/L,,,,,,,,7.0,F6.1,{'CHE'}
nitrate_plus_nitrite,umol\/L,,,,,mole_concentration_of_nitrate_and_nitrite_in_sea_water,umol/L,,SDN:P01::NTRZAAZX,,,,,,,,
nitrate_plus_nitrite,umol\/l|umol\/L,,,float32,Mole Concentration of Nitrate and Nitrite in Sea Water,mole_concentration_of_nitrate_and_nitrite_in_sea_water,umol/L,,,,,,NTRZAAZ,,,,
nitrate_plus_nitrite2,umol\/L,,,float32,Nitrate plus Nitrite2,mole_concentration_of_nitrate_and_nitrite_in_sea_water,umol/L,,SDN:P01::NTRZAAZX,,,,,,62.0,F,{'CHE'}
nitrate_plus_nitrite:isus,umol\/L,,,float32,Nitrate plus nitrite ISUS,mole_concentration_of_nitrate_and_nitrite_in_sea_water,umol/L,,SDN:P01::NTRZAAZX,,,,,,1.0,F,{'CHE'}
nitrate_plus_nitrite:isus,volts,,,,,mole_concentration_of_nitrate_and_nitrite_in_sea_water,volts,,SDN:P01::NTRZAAZX,,,,,,,,
nitrate_plus_nitrite:isus,volts|Volts,,,float32,Nitrate plus nitrite ISUS,mole_concentration_of_nitrate_and_nitrite_in_sea_water,volts,,SDN:P01::NTRZAAZX,,,,,,109.0,F,"{'CHE, 'CTD'}"
nitrate_plus_nitrite:isus:voltage,Volts,,,float32,Nitrate plus nitrite ISUS Voltage,mole_concentration_of_nitrate_and_nitrite_in_sea_water,Volts,,,,,,,,14.0,F,{'CHE'}
nitrite,microg-at\/l,,,' ',Nitrite,,microg-at/l,,,,,,,,210.0,' ',{'BOT'}
nitrite,mmol\/m,,,,,mole_concentration_of_nitrite_in_sea_water,mmol/m,,SDN:P01::NTRZAAZX,,,,,,,,
nitrite,umol\/L,,,,,mole_concentration_of_nitrite_in_sea_water,umol/L,,SDN:P01::NTRIZZXX,,,,,,,,
nitrite,umol\/L|mmol\/m,,,float32,Nitrite,,umol/L,,,,,,,,122.0,F,"{'CHE, 'UBC'}"
nitrogen:dissolved:organic,umol\/L,,,float32,Nitrogen Dissolved Organic,mole_concentration_of_dissolved_organic_nitrogen_in_sea_water,umol/L,,SDN:P01::MDMAP009,,,,,,29.0,F,{'CHE'}
nitrogen:particulate:organic,mg\/m\^3,,,float32,Nitrogen Particulate Organic,mole_concentration_of_particulate_organic_nitrogen_in_sea_water,mg/m^3,,"SDN:P01::NTOTCNPZ,SDN:P01::NTOTZZZZ",,,,,,7.0,F7.1,{'CHE'}
nitrogen:particulate:total,umol\/L,,,float32,Nitrogen Particulate Total,,umol/L,,,,,,,,41.0,F7.2,{'CHE'}
nitrogen:particulate:total,umol\/kg,,,float32,Nitrogen Particulate Total,,umol/kg,,,,,,,,41.0,F7.2,{'CHE'}
nitrogen:total,uM,,,float32,Nitrogen Total,,uM,,SDN:P01::NTOTZZXX,,,,,,11.0,F7.1,{'CHE'}
nitrogen:total:dissolved,uM,,,float32,Nitrogen Total Dissolved,mole_concentration_of_dissolved_nitrogen_in_sea_water,uM,,,,,,,,11.0,F7.1,{'CHE'}
ntu,,,,f,NTU,sea_water_turbidity,,,SDN:P01::TURBXXXX,,,,,,4.0,f,{'CTD'}
number_of_bin_records,None,,,int,,,,,,,,,,,,,
number_of_bin_records,,,,,,,,,,,,,,,,,
oxygen,mg\/l,,,float32,Oxygen,mass_concentration_of_oxygen_in_sea_water,mg/l,,SDN:P01::DOXYZZ01,,,,,,1787.0,F,{'UBC'}
oxygen,ml\/l,,,,,volume_fraction_of_oxygen_in_sea_water,ml/l,,SDN:P01::DOXYZZ01,,,,,,,,
oxygen,ml\/l|mL\/L,,,float32,Oxygen concentration,volume_fraction_of_oxygen_in_sea_water,mL/L,,SDN:P01::DOXYZZ01,,,,DOXYZZ01,,,,
oxygen,mmol\/m,,,,,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,umol/L,,SDN:P01::DOXMZZ01,,,,,,,,
oxygen,umol\/L|mmol\/m,,,float32,Oxygen concentration,dissolved_oxygen_concentration,umol/L,,,,,,DOXY01,x,,,
oxygen,umol\/kg,,,float32,Oxygen concentration,dissolved_oxygen_concentration,umol/kg,,,,,,DOXMZZ01,,,,
oxygen:dissolved,L\/L,,,,,volume_fraction_of_oxygen_in_sea_water,L/L,,SDN:P01::DOXYZZ01,,,,,,,,
oxygen:dissolved,mL\/L,,,float32,Oxygen Dissolved,volume_fraction_of_oxygen_in_sea_water,mL/L,,SDN:P01::DOXYZZ01,,,,,,2786.0,F,"{'CHE, 'CTD'}"
oxygen:dissolved,mg\/L,,,float32,Oxygen Dissolved,mass_concentration_of_oxygen_in_sea_water,mg/L,,SDN:P01::DOXYZZ01,,,,,,200.0,F,{'BOT'}
oxygen:dissolved,umol\/L,,,float32,Oxygen Dissolved,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,umol/L,,SDN:P01::DOXYZZ01,,,,,,200.0,F,{'BOT'}
oxygen:dissolved,umol\/kg,,,float32,Oxygen Dissolved,moles_of_oxygen_per_unit_mass_in_sea_water,umol/kg,,SDN:P01::DOXMZZ01,,,,,,,,
oxygen:dissolved2,mL\/L,,,float32,Oxygen Dissolved2,volume_fraction_of_oxygen_in_sea_water,mL/L,,SDN:P01::DOXYZZ02,,,,,,3.0,F,{'CHE'}
oxygen:dissolved:bottle:mass [ml/l],umol\/kg,,,float32,Oxygen Dissolved Bottle Mass [ml/l],,umol/kg,,,,,,,,,,
oxygen:dissolved:bottle:volume [ml/l],mL\/L,,,float32,Oxygen Dissolved Bottle Volume [ml/l],,mL/L,,,,,,,,,,
oxygen:dissolved:ctd,mL\/L,,,,,volume_fraction_of_oxygen_in_sea_water,mL/L,,SDN:P01::DOXYZZ01,,,,,,,,
oxygen:dissolved:ctd,umol\/kg,,,,,moles_of_oxygen_per_unit_mass_in_sea_water,umol/kg,,SDN:P01::DOXMZZ01,,,,,,,,
oxygen:dissolved:ctd,umol\/kg|mL\/L,,,float32,Oxygen Dissolved CTD,,,,,,,,,,84.0,F,{'BOT'}
oxygen:dissolved:g+g,mL\/L,,,f,Oxygen dissolved G+G,volume_fraction_of_oxygen_in_sea_water,mL/L,,SDN:P01::DOXYZZ01,,,,,,1.0,f,{'CTD'}
oxygen:dissolved:mass:ctd,umol\/kg,,,float32,Oxygen Dissolved Mass CTD,moles_of_oxygen_per_unit_mass_in_sea_water,umol/kg,,SDN:P01::DOXMZZ01,,,,,,,,
oxygen:dissolved:rinko,Volts,,,,,,Volts,,,,,,,,,,
oxygen:dissolved:rinko,mL\/L,,,,,volume_fraction_of_oxygen_in_sea_water,mL/L,,SDN:P01::DOXYZZ01,,,,,,,,
oxygen:dissolved:rinko,mL\/L|Volts,,,float32,Oxygen Dissolved Rinko,,mL/L|Volts,,,,,,,,4.0,F11.7,{'CHE'}
oxygen:dissolved:saturation,%,,,float32,Oxygen Dissolved Saturation,fractional_saturation_of_oxygen_in_sea_water,%,,SDN:P01::OXYSOP01,,,,,,206.0,F,{'BOT'}
oxygen:dissolved:saturation:rbr,%,,,float32,Oxygen Dissolved Saturation RBR,fractional_saturation_of_oxygen_in_sea_water,%,,SDN:P01::OXYSOP01,,,,,,436.0,F,{'CTD'}
oxygen:dissolved:saturation:rinko,%,,,float32,Oxygen Dissolved Saturation Rinko,fractional_saturation_of_oxygen_in_sea_water,%,,SDN:P01::OXYSOP01,,,,,,2.0,F8.2,{'CHE'}
oxygen:dissolved:saturation:upcast,mL\/L,,,float32,Oxygen Dissolved Saturation Upcast,volume_fraction_of_oxygen_in_sea_water,mL/L,,SDN:P01::DOXYZZ01,,,,,,4.0,F,{'CTD'}
oxygen:dissolved:sbe,mL\/L,,,float32,Oxygen Dissolved SBE,volume_fraction_of_oxygen_in_sea_water,mL/L,,SDN:P01::DOXYZZ01,,,,,,,,
oxygen:dissolved:sbe,umol\/kg,,,float32,Oxygen Dissolved SBE,moles_of_oxygen_per_unit_mass_in_sea_water,umol/kg,,SDN:P01::DOXMZZ01,,,,,,,,
oxygen:dissolved:sbe,umol\/l,,,f,Oxygen Dissolved SBE,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,umol/l,,SDN:P01::DOXYZZ01,,,,,,1.0,f,{'CTD'}
oxygen:dissolved:volume:ctd,mL\/L,,,float32,Oxygen Dissolved Volume CTD,volume_fraction_of_oxygen_in_sea_water,mL/L,,SDN:P01::DOXYZZ01,,,,,,,,
oxygen:dissolved:volume:sbe,mL\/L,,,float32,Oxygen Dissolved Volume SBE,volume_fraction_of_oxygen_in_sea_water,mL/L,,SDN:P01::DOXYZZ01,,,,,,20.0,F,{'BOT'}
oxygen:dissolved:weiss,mL\/L,,,f,Oxygen Dissolved Weiss,volume_fraction_of_oxygen_in_sea_water,mL/L,,SDN:P01::DOXYZZ01,,,,,,1.0,f,{'CTD'}
oxygen:isotope:18,\/mille,,,float32,Oxygen Isotope 18,,/mille,,SDN:P01::D18OMXWT,,,,,,134.0,F,{'CHE'}
oxygen_temperature:rinko,Volts,,,float32,Oxygen Temperature Rinko,temperature_of_sensor_for_oxygen_in_sea_water,Volts,,SDN:P01::OXYTAAOP,,,,,,2.0,F11.7,{'CHE'}
par,uE\/m\^2\/sec,,,float32,Photoactive Radiation,,uE/m^2/sec,,SDN:P01::SCIRR4PI,,,,,,,,
par1,uE\/m\^2\/sec,,,float32,PAR1,,uE/m^2/sec,,SDN:P01::SCIRR4PI,,,,,,13.0,F,{'CHE'}
par:1,uE\/m\^2\/sec,,,float32,PAR 1,,uE/m^2/sec,,SDN:P01::SCIRR4PI,,,,,,1.0,F,{'CTD'}
par:ctd,uE\/m\^2\/sec,,,float32,PAR CTD,,uE/m^2/sec,,,,,,,,,,
par:reference,uE\/m\^2\/sec,,,float32,PAR Reference,,uE/m^2/sec,,SDN:P01::SCIRR4PI,,,,,,,,
ph,None,,,float32,pH,,,,,,,,,,115.0,F,"{'CHE, 'CTD, 'UBC'}"
ph,none|n\/a,,,,,sea_water_ph_reported_on_total_scale,,,SDN:P01::PHXXPR01,,,,,,,,
ph:nbs,None,,,float32,pH NBS,sea_water_ph_reported_on_total_scale,,,SDN:P01::PHXXPR01,,,,,,86.0,F,{'BOT'}
ph:nbs,,,,,,sea_water_ph_reported_on_total_scale,,,SDN:P01::PHXXPR01,,,,,,,,
ph:sbe,None,,,float32,pH SBE,,,,,,,,,,155.0,F,"{'CHE, 'CTD'}"
ph:sbe,n\/a|pH Units,,,,,sea_water_ph_reported_on_total_scale,,,SDN:P01::PHXXPR01,,,,,,,,
ph:sbe:nominal,None,,,float,pH SBE Nominal,sea_water_ph_reported_on_total_scale,,,SDN:P01::PHXXPR01,,,,,,,,
ph:sbe:nominal,,,,,,sea_water_ph_reported_on_total_scale,,,SDN:P01::PHXXPR01,,,,,,,,
ph:sws,None,,,float32,pH SWS,sea_water_ph_reported_on_total_scale,,,SDN:P01::PHXXPR01,,,,,,77.0,F,"{'BOT', 'CHE'}"
ph:sws,,,,,,sea_water_ph_reported_on_total_scale,,,SDN:P01::PHXXPR01,,,,,,,,
phaeo-pigment:extracted,mg\/m\^3,,,float32,Phaeo-Pigment Extracted,mass_concentration_of_phaeopigments_in_sea_water,mg/m^3,,SDN:P01::PHAEFLPZ,,,,,,1052.0,F,{'CHE'}
phaeo-pigment:extracted3,mg\/m\^3,,,float32,Phaeo-Pigment Extracted3,mass_concentration_of_phaeopigments_in_sea_water,mg/m^3,,SDN:P01::PHAEFLPZ,,,,,,31.0,F,{'CHE'}
phaeo-pigment:extracted:0.3um,mg\/m\^3,,,float32,Phaeo-Pigment Extracted 0.3um,mass_concentration_of_phaeopigments_in_sea_water,mg/m^3,,,,,,,,3.0,F7.2,{'CHE'}
phaeo-pigment:extracted:bottle,mg\/m\^3,,,float32,Phaeo-Pigment Extracted Bottle,,mg/m^3,,,,,,,,,,
phosphate,microg-at\/l,,,' ',Phosphate,mass_concentration_of_phosphate_in_sea_water,microg-at/l,,SDN:P01::PHOSAAZX,,,,,,246.0,' ',{'BOT'}
phosphate,mmol\/m,,,float32,Phosphate,,umol/L,,,,,,,,252.0,F7.2,"{'CHE, 'UBC'}"
phosphate,ug-at\/L,,,float32,Phosphate,mass_concentration_of_phosphate_in_sea_water,ug-at/L,,SDN:P01::PHOSAAZX,,,,,,252.0,F7.2,"{'CHE, 'UBC'}"
phosphate,umol\/L|mmol\/m,,,,,mole_concentration_of_phosphate_in_sea_water,umol/L,,SDN:P01::PHOSAAZX,,,,,,,,
phosphate,umol\/l|umol\/L,,,float32,Mole Concentration of Phosphate in Sea Water,mole_concentration_of_phosphate_in_sea_water,umol/L,,,,,,PHOSAAZ,,,,
phosphate (will correct this in ios archive),,,,,,mole_concentration_of_phosphate_in_sea_water,,,SDN:P01::PHOSAAZX,,,,,,,,
phosphate(inorg),mmol\/m,,,float32,Phosphate(inorg),mole_concentration_of_phosphate_in_sea_water,umol/L,,,,,,,,25.0,F,{'UBC'}
phosphate2,umol\/L,,,float32,Phosphate2,mole_concentration_of_phosphate_in_sea_water,umol/L,,SDN:P01::PHOSAAZX,,,,,,62.0,F,{'CHE'}
phytoplankton:volume,mm\^3\/m\^3,,,float32,Phytoplankton Volume,,mm^3/m^3,,,,,,,,266.0,F,{'BOT'}
picophytoplankton,\/mL,,,f10.2,Picophytoplankton,,/mL,,SDN:P01::PU00A02Z,,,,,,49.0,f10.2,{'CHE'}
pitch,,,,float32,platform_pitch,,degrees,,,,,,PTCHEI01,,,,
precipitation,mm,,,float32,Precipitation,,mm,,,,,,,,,,
precipitation:flag,,,,int32,Precipitation Flag,,,,,,,,,,3.0,I,{'ANE'}
precipitation:rate,mm\/hr,,,float32,Precipitation Rate,,mm/hr,,,,,,,,,,
precipitation:rate:flag,,,,int32,Precipitation Rate Flag,,,,,,,,,,3.0,I,{'ANE'}
pressure,count|counts,,,float32,Pressure,,counts,,,,,,PRESPR01,,,,
pressure,dbar|dbars|decibar|decibars|DBars|DBAR,,,float32,Pressure,,decibar,,,,,,PRESPR01,,,,
pressure,decibar|DBAR|dbars|decibars,,,,,sea_water_pressure,decibar,,SDN:P01::PRESPR01,,,,,,,,
pressure,kpascal|kilopascal|Kpascal,,,float32,Pressure,,kilopascal,,,,,,PRESPR01,,,,
pressure:atmospheric:sealevel,mbar,,,float32,Pressure Atmospheric SeaLevel,,mbar,,,,,,,,,,
pressure:atmospheric:sealevel:flag,,,,int32,Pressure Atmospheric SeaLevel Flag,,,,,,,,,,3.0,I,{'ANE'}
pressure:ctd,decibar,,,float32,Pressure CTD,sea_water_pressure,decibar,,SDN:P01::PRESPR01,,,,PRESPR01,,,,
pressure:reversing,decibar,,,float32,Pressure Reversing,sea_water_pressure,decibar,,SDN:P01::PRESPR01,,,,,,44.0,F,{'BOT'}
production:primary,mgC\/m\^3\/day,,,float32,Production Primary,net_primary_production_of_biomass_expressed_as_carbon_per_unit_volume_in_sea_water,mgC/m^3/day,,,,,,,,146.0,F,{'CHE'}
production:primary,mgC\/m\^3\/hour,,,float32,Production Primary,net_primary_production_of_biomass_expressed_as_carbon_per_unit_volume_in_sea_water,mgC/m^3/hour,,,,,,,,184.0,F,{'BOT'}
profile,None,,,str,,,,,,,,,,,,,
propane,nmol\/L,,,float32,Propane,,nmol/L,,SDN:P01::AX03GCTX,,,,,,2.0,F6.1,{'CHE'}
quality_flag:alka,IGOSS_flags,,,,,,IGOSS_flags,,,,,,,,,,
quality_flag:nitr,IGOSS_flags,,,,,,IGOSS_flags,,,,,,,,,,
quality_flag:oxyg,IGOSS_flags,,,,,,IGOSS_flags,,,,,,,,,,
quality_flag:ph,IGOSS_flags,,,,,,IGOSS_flags,,,,,,,,,,
quality_flag:phos,IGOSS_flags,,,,,,IGOSS_flags,,,,,,,,,,
quality_flag:sali,IGOSS_flags,,,,,,IGOSS_flags,,,,,,,,,,
quality_flag:sili,IGOSS_flags,,,,,,IGOSS_flags,,,,,,,,,,
quality_flag:sulp,IGOSS_flags,,,,,,IGOSS_flags,,,,,,,,,,
quality_flag:temp,IGOSS_flags,,,,,,IGOSS_flags,,,,,,,,,,
quality_flag:vita,IGOSS_flags,,,,,,IGOSS_flags,,,,,,,,,,
radiation:solar,W\/m\^2,,,float32,Solar Radiation,,W/m^2,,,,,,,,,,
radiation:solar:flag,None,,,int32,Radiation Solar Flag,,,,,,,,,,3.0,I,{'ANE'}
radiation:solar:high,W\/m\^2,,,float32,High Solar Radiation,,W/m^2,,,,,,,,,,
radiation:solar:high:flag,None,,,int32,Radiation Solar High Flag,,,,,,,,,,3.0,I,{'ANE'}
record #,None,,,int32,Record #,,,,,,,,,,2.0,I,{'ANE'}
record_number,None,,,int,,,,,,,,,,,,,
record_number,,,,,,,,,,,,,,,,,
recordnumber,None,,,float32,RecordNumber,,,,,,,,,,1.0,F,{'ANE'}
reference,None,,,str,,,,,,,,,,,,,
roll,,,,float32,platform_roll,degrees,,,,,,,ROLLEI01,,,,
run:wind,km,,,float32,Run Wind,,km,,,,,,,,9.0,F,{'ANE'}
run_wind,km,,,float32,Run Wind,,km,,,,,,,,,,
salinity,PSS\-78|PPS78,,,float32,Sea Water Practical Salinity,sea_water_practical_salinity,PSS-78,,SDN:P01::PSALST01,,,,PSALT01,,,,
salinity,ppt|PPT,,,float32,Sea Water Practical Salinity,sea_water_practical_salinity,PPT,,SDN:P01::SSALST01,,,,SSALST01,,,,
salinity: practical,PSS-78|PSU,,,float32,Sea Water Practical Salinity,sea_water_practical_salinity,PSS-78,,,,,,PSALBST01,,,,
salinity: practical,PSU,,,,,sea_water_practical_salinity,PSS-78,,SDN:P01::PSALST01,,,,,,,,
salinity: pre-1978,PPT,,,float32,Salinity  Pre-1978,sea_water_salinity,PPT,,SDN:P01::SSALST01,,,,,,,,
salinity:bottle,PPT|ppt,,,float32,Salinity Bottle,,PPT,,,,,,,,23.0,F,{'CHE'}
salinity:bottle,PSS-78,,,float32,Salinity Bottle,sea_water_practical_salinity,PSS-78,,SDN:P01::PSALBSTX,,,,,,,,
salinity:bottle,ppt,,,,,sea_water_salinity,ppt,,SDN:P01::SSALBSTX,,,,,,,,
salinity:bottle,,,,float32,Salinity Bottle,sea_water_salinity,,,SDN:P01::SSALBSTX,,,,,,32.0,F9.4,{'CHE'}
salinity:ctd,PSS-78,,,float32,Salinity CTD,sea_water_practical_salinity,PSS-78,,SDN:P01::PSALST01,,,,,,,,
salinity:ctd,umol\/kg,,,float32,Salinity CTD,sea_water_salinity,umol/kg,,SDN:P01::SSALBSTX,,,,,,6.0,F,{'BOT'}
salinity:cur,PSS-78,,,float32,Sea Water Practical Salinity,sea_water_practical_salinity,PSS-78,,,,,,PSLTZZ01,,,,
