ios_name,accepted_units,equivalent_to,apply_func,datatype,long_name,standard_name,units,scale,sdn_parameter_urn,sdn_parameter_name,sdn_uom_urn,sdn_uom_name,rename,need_review,file,ios_type,file_extension
carbon:particulate:organic,mg\/m\^3,,,,,,mg/m^3,,SDN:P01::MDMAP010,,,,,,,,
carbon:particulate:organic,mg\/m\^3|mg\/m3|umol\/L,,,float32,Carbon Particulate Organic,,umol/L,,,,,,,,17.0,F7.1,{'CHE'}
carbon:particulate:organic,umol\/L,,,,,mole_concentration_of_particulate_matter_expressed_as_carbon_in_sea_water,umol/L,,SDN:P01::MDMAP010,,,,,,,,
carbon:particulate:total,umol\/L,,,float32,Carbon Particulate Total,mole_concentration_of_particulate_matter_expressed_as_carbon_in_sea_water,umol/L,,SDN:P01::MDMAP011,,,,,,38.0,F8.3,{'CHE'}
carbon:particulate:total,umol\/kg,,,float32,Carbon Particulate Total,mole_concentration_of_particulate_matter_expressed_as_carbon_in_sea_water,umol/kg,,SDN:P01::MDMAP011,,,,,,38.0,F8.3,{'CHE'}
carbon:total:organic,mg/L,,,float32,Carbon Total Organic,,mg/L,,,,,,,,1.0,F5.2,{'BOT'}
carbon:total:organic,mg\/L,,,,,,mg/L,,,,,,,,,,
carbon:total:organic,uM,,,,,,uM,,,,,,,,,,
carbon:total:organic,uM|umol\/L,,,float32,Carbon Total Organic,,umol/L,,,,,,,,24.0,F6.0,{'CHE'}
carbon:total:organic,umol\/L,,,,,,umol/L,,,,,,,,,,
carbon:total:organic,umol\/kg,,,float32,Carbon Total Organic,,umol/kg,,,,,,,,24.0,F6.0,{'CHE'}
carbontetrachloride,pmol\/L,,,f7.2,Carbontetrachloride,,pmol/L,,SDN:P01::CCL4AFX1,,,,,,36.0,f7.2,{'CHE'}
carbontetrachloride,pmol\/kg,,,float32,Carbontetrachloride,,pmol/kg,,SDN:P01::QCMXMASS,,,,,,4.0,F7.2,{'CHE'}
cdom_a250,m\^-1,,,float32,CDOM a250,,m^-1,,SDN:P01::CDOMZZ01,,,,,,30.0,F,{'CHE'}
cdom_a250:a365,m\^-1,,,float32,CDOM a250 a365,,m^-1,,SDN:P01::CDOMZZ01,,,,,,30.0,F,{'CHE'}
cdom_a254,m\^-1,,,float32,CDOM a254,,m^-1,,SDN:P01::CDOMZZ01,,,,,,30.0,F,{'CHE'}
cdom_a350,m\^-1,,,float32,CDOM a350,,m^-1,,SDN:P01::CDOMZZ01,,,,,,30.0,F,{'CHE'}
cdom_a365,m\^-1,,,float32,CDOM a365,,m^-1,,SDN:P01::CDOMZZ01,,,,,,30.0,F,{'CHE'}
cdom_a375,m\^-1,,,float32,CDOM a375,,m^-1,,SDN:P01::CDOMZZ01,,,,,,30.0,F,{'CHE'}
cdom_a412,m\^-1,,,float32,CDOM a412,,m^-1,,SDN:P01::CDOMZZ01,,,,,,30.0,F,{'CHE'}
cdom_a440,m\^-1,,,float32,CDOM a440,,m^-1,,SDN:P01::CDOMZZ01,,,,,,30.0,F,{'CHE'}
cdom_a443,m\^-1,,,float32,CDOM a443,,m^-1,,SDN:P01::CDOMZZ01,,,,,,30.0,F,{'CHE'}
cdom_s275-295,m\^-1,,,float32,CDOM S275-295,,m^-1,,SDN:P01::CDOMZZ01,,,,,,30.0,F,{'CHE'}
cdom_s275-295:s350-400,m\^-1,,,float32,CDOM S275-295 S350-400,,m^-1,,SDN:P01::CDOMZZ01,,,,,,30.0,F,{'CHE'}
cdom_s290-350,m\^-1,,,float32,CDOM S290-350,,m^-1,,SDN:P01::CDOMZZ01,,,,,,30.0,F,{'CHE'}
cdom_s350-400,m\^-1,,,float32,CDOM S350-400,,m^-1,,SDN:P01::CDOMZZ01,,,,,,30.0,F,{'CHE'}
cesium137,mBq\/L,,,float32,Cesium137,,mBq/L,,,,,,,,3.0,F8.2,{'CHE'}
cesium137uncert,mBq\/L,,,float32,Cesium137uncert,,mBq/L,,,,,,,,3.0,F8.2,{'CHE'}
cesium:isotope:137,mBq\/L,,,float32,Cesium Isotope 137,,mBq/L,,,,,,,,1.0,F8.2,{'CHE'}
cesium:isotope:137:uncertainty,mBq\/L,,,float32,Cesium Isotope 137 Uncertainty,,mBq/L,,,,,,,,1.0,F8.2,{'CHE'}
chlorofluorocarbon_11,nmol\/m\^3,,,,,mole_concentration_of_cfc11_in_sea_water,nmol/m^3,,SDN:P01::FR11GCTX,,,,,,,,
chlorofluorocarbon_11,nmol\/m\^3|pmol\/L,,,float32,Chlorofluorocarbon 11,,nmol/m^3|pmol/L,,,,,,,,94.0,F,{'CHE'}
chlorofluorocarbon_11,pmol\/L,,,,,mole_concentration_of_cfc11_in_sea_water,pmol/L,,SDN:P01::FR11GCTX,,,,,,,,
chlorofluorocarbon_11,pmol\/kg,,,float32,Chlorofluorocarbon 11,moles_of_cfc11_per_unit_mass_in_sea_water,pmol/kg,,SDN:P01::FR11GCKG,,,,,,94.0,F,{'CHE'}
chlorofluorocarbon_113,pmol\/L,,,f7.2,Chlorofluorocarbon 113,,pmol/L,,SDN:P01::F113GCTX,,,,,,36.0,f7.2,{'CHE'}
chlorofluorocarbon_113,pmol\/kg,,,float32,Chlorofluorocarbon 113,,pmol/kg,,SDN:P01::F113GCKG,,,,,,3.0,F7.2,{'CHE'}
chlorofluorocarbon_12,mg\/m\^3,,,,,,mg/m^3,,SDN:P01::FR12GCTX,,,,,,,,
chlorofluorocarbon_12,nmol\/m\^3,,,,,mole_concentration_of_cfc12_in_sea_water,nmol/m^3,,SDN:P01::FR12GCTX,,,,,,,,
chlorofluorocarbon_12,nmol\/m\^3|pmol\/L,,,float32,Chlorofluorocarbon 12,,nmol/m^3|pmol/L,,,,,,,,94.0,F,{'CHE'}
chlorofluorocarbon_12,pmol\/L,,,,,mole_concentration_of_cfc12_in_sea_water,pmol/L,,SDN:P01::FR12GCTX,,,,,,,,
chlorofluorocarbon_12,pmol\/kg,,,float32,Chlorofluorocarbon 12,mole_concentration_of_cfc12_in_sea_water,pmol/kg,,SDN:P01::FR12GCKG,,,,,,94.0,F,{'CHE'}
chlorophyll:extracted,mg\/m\^3,,,float32,"Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >GF/F phase] by filtration, acetone extraction and fluorometry",mass_concentration_of_chlorophyll_in_sea_water,mg/m^3,,"SDN:P01::CPHLZZXX,SDN:P01::CPHLFLPZ",,,,CPHLFLP,,,,
chlorophyll:extracted2,mg\/m\^3,,,float32,Chlorophyll Extracted2,mass_concentration_of_chlorophyll_in_sea_water,mg/m^3,,"SDN:P01::CPHLZZXX,SDN:P01::CPHLFLPZ",,,,,,31.0,F,{'CHE'}
chlorophyll:extracted3,mg\/m\^3,,,float32,Chlorophyll Extracted3,mass_concentration_of_chlorophyll_in_sea_water,mg/m^3,,"SDN:P01::CPHLZZXX,SDN:P01::CPHLFLPZ",,,,,,31.0,F,{'CHE'}
chlorophyll:extracted:0.3um,mg\/m\^3,,,float32,Chlorophyll Extracted 0.3um,mass_concentration_of_chlorophyll_in_sea_water,mg/m^3,,"SDN:P01::CPHLZZXX,SDN:P01::CPHLFLPZ",,,,,,3.0,F8.3,{'CHE'}
chlorophyll:extracted:<5.0um,mg\/m\^3,,,float32,Chlorophyll Extracted <5.0um,mass_concentration_of_chlorophyll_in_sea_water,mg/m^3,,"SDN:P01::CPHLZZXX,SDN:P01::CPHLFLPZ",,,,,,14.0,F,{'CHE'}
chlorophyll:extracted:>0.7um,mg\/m\^3,,,float32,Chlorophyll Extracted >0.7um,mass_concentration_of_chlorophyll_in_sea_water,mg/m^3,,"SDN:P01::CPHLZZXX,SDN:P01::CPHLFLPZ",,,,,,46.0,F,{'CHE'}
