Vocabulary,name,Users,MEDS:STATUS,MEDS:CATEGORY_MEANING_E,MEDS:CATEGORY_MEANING_F,MEDS:UNITS_DESCRIPTOR_E,MEDS:UNITS_DESCRIPTOR_F,MEDS:CF_CODE,MEDS:NETCDF_LONG_NAME,MEDS:WMO_CODE_TABLE_ID,MEDS:CONVENTION,BIO:units,BIO:P06 urn,BIO:P06 name,BIO:P01 urn,BIO:P01 name,BIO:CF_CODE,IML:definition,IML:units,long_name,expected_units,scale,standard_name,SDN:P07::id,SDN:P01::id,SDN:P01::urn,SDN:P01::prefLabel,sdn_parameter_urn,sdn_parameter_name,SDN:P06::id,SDN:P06::urn,SDN:P06::prefLabel,sdn_uom_urn,sdn_uom_name,definition,convention,scale_factor,GF3_name,Alternative units,SDN:P01::Alternative Name
GF3,510E,"BIO,MEDS",,,,,,,,,,Uw/cm^2/nm,,,RXUU510E,Upwelling vector irradiance as energy of electromagnetic radiation (510nm wavelength) in the water body by cosine-collector radiometer,,,,,Uw/cm^2/nm,,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU510E/,RXUU510E,Upwelling vector irradiance as energy of electromagnetic radiation (510nm wavelength) in the water body by cosine-collector radiometer,SDN:P01::RXUU510E,Upwelling vector irradiance as energy of electromagnetic radiation (510nm wavelength) in the water body by cosine-collector radiometer,,,,,,Upwelling vector irradiance as energy of electromagnetic radiation (510nm wavelength) in the water body by cosine-collector radiometer,,,510E,,
GF3,510ESDEV,"BIO,MEDS",,,,,,,,,,Uw/cm^2/nm,,,,,,,,,Uw/cm^2/nm,,,,,,,,,,,,,,,,,510ESDEV,,
GF3,510L,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm/sr,,,RXUU510L,Upwelling radiance as energy of electromagnetic radiation (510nm wavelength) in the water body by radiance sensor,,,,,uW/cm^2/nm/sr,,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU510L/,RXUU510L,Upwelling radiance as energy of electromagnetic radiation (510nm wavelength) in the water body by radiance sensor,SDN:P01::RXUU510L,Upwelling radiance as energy of electromagnetic radiation (510nm wavelength) in the water body by radiance sensor,,,,,,Upwelling radiance as energy of electromagnetic radiation (510nm wavelength) in the water body by radiance sensor,,,510L,,
GF3,510LSDEV,"BIO,MEDS",,,,,,,,,,Uw/cm^2/nm/sr,,,,,,,,,Uw/cm^2/nm/sr,,,,,,,,,,,,,,,,,510LSDEV,,
GF3,555E,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm,,,RXUU555E,Upwelling vector irradiance as energy of electromagnetic radiation (555nm wavelength) in the water body by cosine-collector radiometer,,,,,uW/cm^2/nm,,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU555E/,RXUU555E,Upwelling vector irradiance as energy of electromagnetic radiation (555nm wavelength) in the water body by cosine-collector radiometer,SDN:P01::RXUU555E,Upwelling vector irradiance as energy of electromagnetic radiation (555nm wavelength) in the water body by cosine-collector radiometer,,,,,,Upwelling vector irradiance as energy of electromagnetic radiation (555nm wavelength) in the water body by cosine-collector radiometer,,,555E,,
GF3,555ESDEV,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm,,,,,,,,,uW/cm^2/nm,,,,,,,,,,,,,,,,,555ESDEV,,
GF3,555L,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm/sr,,,RXUU555L,Upwelling radiance as energy of electromagnetic radiation (555nm wavelength) in the water body by radiance sensor,,,,,uW/cm^2/nm/sr,,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU555L/,RXUU555L,Upwelling radiance as energy of electromagnetic radiation (555nm wavelength) in the water body by radiance sensor,SDN:P01::RXUU555L,Upwelling radiance as energy of electromagnetic radiation (555nm wavelength) in the water body by radiance sensor,,,,,,Upwelling radiance as energy of electromagnetic radiation (555nm wavelength) in the water body by radiance sensor,,,555L,,
GF3,555LSDEV,"BIO,MEDS",,,,,,,,,,Uw/cm^2/nm/sr,,,,,,,,,Uw/cm^2/nm/sr,,,,,,,,,,,,,,,,,555LSDEV,,
GF3,669E,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm,,,IRRDE669,Downwelling vector irradiance as photons of electromagnetic radiation (669nm wavelength) in the water body by cosine-collector radiometer,,,,,uW/cm^2/nm,,,,http://vocab.nerc.ac.uk/collection/P01/current/IRRDE669/,IRRDE669,Downwelling vector irradiance as photons of electromagnetic radiation (669nm wavelength) in the water body by cosine-collector radiometer,SDN:P01::IRRDE669,Downwelling vector irradiance as photons of electromagnetic radiation (669nm wavelength) in the water body by cosine-collector radiometer,,,,,,Downwelling vector irradiance as photons of electromagnetic radiation (669nm wavelength) in the water body by cosine-collector radiometer,,,669E,,
GF3,669ESDEV,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm,,,,,,,,,uW/cm^2/nm,,,,,,,,,,,,,,,,,669ESDEV,,
GF3,669L,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm/sr,,,,,,,,,uW/cm^2/nm/sr,,,,,,,,,,,,,,,,,669L,,
GF3,669LSDEV,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm/sr,,,,,,,,,uW/cm^2/nm/sr,,,,,,,,,,,,,,,,,669LSDEV,,
GF3,683E,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm,,,RXUD683E,Downwelling vector irradiance as energy of electromagnetic radiation (683nm wavelength) in the water body by cosine-collector radiometer,,,,,uW/cm^2/nm,,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUD683E/,RXUD683E,Downwelling vector irradiance as energy of electromagnetic radiation (683nm wavelength) in the water body by cosine-collector radiometer,SDN:P01::RXUD683E,Downwelling vector irradiance as energy of electromagnetic radiation (683nm wavelength) in the water body by cosine-collector radiometer,,,,,,Downwelling vector irradiance as energy of electromagnetic radiation (683nm wavelength) in the water body by cosine-collector radiometer,,,683E,,
GF3,683ESDEV,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm,,,,,,,,,uW/cm^2/nm,,,,,,,,,,,,,,,,,683ESDEV,,
GF3,683L,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm/sr,,,RXUUU683,Upwelling radiance as energy of electromagnetic radiation (683nm wavelength) in the water body by radiance sensor,,,,,uW/cm^2/nm/sr,,,,,,,,,,,,,,,,,683L,,
GF3,683LSDEV,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm/sr,,,,,,,,,uW/cm^2/nm/sr,,,,,,,,,,,,,,,,,683LSDEV,,
GF3,ABA$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,number,nombre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABA$,,
GF3,ABSH,"BIO,IML,MEDS",A,Meteorology,Météorologie,gram per metre cube,gramme par mètre cube,,,,,g/m^3,UGMC,grams per cubic metre,CHUMZZ01,Relative humidity of the atmosphere,specific_humidity,,,,g/m^3|gram per metre cube,,specific_humidity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0313/,http://vocab.nerc.ac.uk/collection/P01/current/CHUMZZ01/,CHUMZZ01,Relative humidity of the atmosphere,SDN:P01::CHUMZZ01,Relative humidity of the atmosphere,http://vocab.nerc.ac.uk/collection/P06/current/UGMC/,UGMC,Grams per cubic metre,SDN:P06::UGMC,Grams per cubic metre,Relative humidity of the atmosphere,,,ABSH,,
GF3,AC2$,MEDS,A,General purpose,Tout usage,text,texte,,unique_number_HHMMSS_profNo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC2$,,
GF3,ACC$,MEDS,A,General purpose,Tout usage,text,texte,,accession_number_meds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACC$,,
GF3,ACCM,MEDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACCM,,
GF3,ACCS,MEDS,A,General purpose,Tout usage,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACCS,,
GF3,ACF$,MEDS,A,General purpose,Tout usage,text,texte,,instrument_active_yn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACF$,,
GF3,ACI$,MEDS,A,General purpose,Tout usage,text,texte,,number_accession_tidal_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACI$,,
GF3,ACT$,MEDS,A,General purpose,Tout usage,text,texte,,type_accession_tidal_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT$,,
GF3,ACY$,MEDS,A,General purpose,Tout usage,text,texte,,year_accession_tidal_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACY$,,
GF3,ADID,MEDS,A,General purpose,Tout usage,text,texte,,id_database_aodc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADID,,
GF3,ADNB,MEDS,A,Wave,Vague,number,nombre,,number_of_blocks_averaged_in_spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADNB,,
GF3,ADNS,MEDS,A,Wave,Vague,number,nombre,,number_of_samples_per_Fourier_block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADNS,,
GF3,ADST,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,number,nombre,,automatic_gain_control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADST,,
GF3,ADSV,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,number,nombre,,automatic_gain_control_variance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADSV,,
GF3,AED1,MEDS,A,Wave,Vague,degree(angle),degré(angle),,wave_direction_AES_from_METOC_hindcast,,,,,,,,,,,,degree,,,,,,,,,,,,,,,,,AED1,,
GF3,AFN$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,number,nombre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFN$,,
GF3,ALKC,MEDS,A,Chemistry,Chimie,micromole per kilogram,micromole par kilogramme,,,,,,,,,,,,,,micromole per kilogram,,,,,,,,,,,,,,,,,ALKC,,
