OWNER,GF3_CODE,MEDS:index,MEDS:GF3_CODE,MEDS:OWNER,MEDS:STATUS,MEDS:CATEGORY_MEANING_E,MEDS:CATEGORY_MEANING_F,MEDS:UNITS_DESCRIPTOR_E,MEDS:UNITS_DESCRIPTOR_F,MEDS:CF_CODE,MEDS:NETCDF_LONG_NAME,MEDS:WMO_CODE_TABLE_ID,MEDS:CONVENTION,BIO:P01 urn,BIO:P01 name,BIO:P06 name,BIO:OWNER,BIO:CF_CODE,BIO:P06 urn,BIO:GF3_CODE,BIO:units,CF_CODE,NERC:P07 id,NERC:P01 id,NERC:P01 urn
BIO,ABSH,1.0,ABSH,BIO,A,Meteorology,Météorologie,gram per metre cube,gramme par mètre cube,,,,,CHUMZZ01,Relative humidity of the atmosphere,grams per cubic metre,BIO,specific_humidity,UGMC,ABSH,g/m^3,specific_humidity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0313/,http://vocab.nerc.ac.uk/collection/P01/current/CHUMZZ01/,CHUMZZ01
BIO,ALKY,29.0,ALKY,BIO,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,,ALKYZZXX,Total alkalinity per unit volume of the water body,millimoles per cubic metre,BIO,,MMCM,ALKY,mmol/m^3,,,http://vocab.nerc.ac.uk/collection/P01/current/ALKYZZXX/,ALKYZZXX
BIO,ALLO,33.0,ALLO,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,
BIO,ALPO,34.0,ALPO,BIO,A,General purpose,Tout usage,metre cube per kilogram,mètre cube par kilogramme,,,,,,,,BIO,,,ALPO,m^3/ kg,,,,
BIO,ALTB,36.0,ALTB,BIO,A,Position and navigation,Position et navigation,metre,mètre,,height_above_bottom,,,AHSGZZ01,Height above bed in the water body,metres,BIO,,ULAA,ALTB,metres,,,,
BIO,ALTS,39.0,ALTS,BIO,A,Position and navigation,Position et navigation,metre,mètre,,,,,AHSLZZ01,Height above sea level (spatial co-ordinate),metres,BIO,,ULAA,ALTS,metres,,,http://vocab.nerc.ac.uk/collection/P01/current/AHSLZZ01/,AHSLZZ01
BIO,AMON,42.0,AMON,BIO,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,,MDMAP04,Concentration of ammonium {NH4+ CAS 14798-03-9} per unit mass of the water body [unknown phase],millimoles per cubic metre,BIO,millimole_concentration_of_ammonium_in_sea_water,MMCM,AMON,mmol/m^3,,,,
BIO,ATMP,,,,,,,,,,,,,,,hectopascal,BIO,air_pressure,HPAX,ATMP,hPa,air_pressure,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0015/,,
BIO,ATMS,71.0,ATMS,BIO,A,Meteorology,Météorologie,hectopascal,hectopascal,,,,,,,hectopascal,BIO,air_pressure_at_mean_sea_level,HPAX,ATMS,hPa,air_pressure_at_mean_sea_level,http://vocab.nerc.ac.uk/collection/P07/current/Q9ZYSAOC/,,
BIO,ATP_,,,,,,,,,,,,,ATPXZZDZ,Concentration of adenosine triphosphate {ATP CAS 56-65-5} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],,BIO,,,ATP_,mg/ m^3,,,http://vocab.nerc.ac.uk/collection/P01/current/ATPXZZDZ/,ATPXZZDZ
BIO,ATRK,79.0,ATRK,BIO,A,Position and navigation,Position et navigation,metre,mètre,,,,,,,,,,,,,,,,
BIO,ATRK ,,,,,,,,,,,,,,,metres,BIO,,ULAA,ATRK ,metres,,,,
BIO,ATTU,83.0,ATTU,BIO,A,Instrument characteristics,Caractéristiques de l'instrument,per metre,par mètre,,,,,ATTNXXZZ,Attenuation (unspecified wavelength) per unit length of the water body,number per metre,BIO,,NOPM,ATTU,/m,,,http://vocab.nerc.ac.uk/collection/P01/current/ATTNXXZZ/,ATTNXXZZ
BIO,BAC_,,,,,,,,,,,,,TBCCXXXX,Abundance of Bacteria (ITIS: 202421: WoRMS 6) per unit volume of the water body,,BIO,,,BAC_,10^6/L,,,http://vocab.nerc.ac.uk/collection/P01/current/TBCCXXXX/,TBCCXXXX
BIO,BATH,100.0,BATH,BIO,A,Geophysics,Géophysique,metre,mètre,,,,,BATHDPTH,Sea-floor depth (below mean sea level) {bathymetric depth},metres,BIO,,ULAA,BATH,metres,,,http://vocab.nerc.ac.uk/collection/P01/current/BATHDPTH/,BATHDPTH
BIO,BATT,104.0,BATT,BIO,A,Instrument characteristics,Caractéristiques de l'instrument,volt,volt,,,,,,,,BIO,,,BATT,volts,,,,
BIO,BATT,104.0,BATT,BIO,A,Instrument characteristics,Caractéristiques de l'instrument,volt,volt,,,,,,,,BIO,,,BATT,,,,,
BIO,BBCA,107.0,BBCA,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,
BIO,BEAM,113.0,BEAM,BIO,A,Instrument characteristics,Caractéristiques de l'instrument,dimensionless,sans dimension,,,,,"TNIHCE(01,02,03,04",Echo intensity from the water body by moored acoustic doppler current profiler (ADCP) beam 1,counts,BIO,,UCNT,BEAM,,,,,
BIO,BECA,115.0,BECA,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,
BIO,BIOV,,,,,,,,,,,,,CVOLUKNB,Biovolume of biological entity specified elsewhere per unit,,BIO,,,BIOV,Ml,,,http://vocab.nerc.ac.uk/collection/P01/current/CVOLUKNB/,CVOLUKNB
BIO,BNO7,,,,,,,,,,,,,,,,BIO,,,BNO7,,,,,
BIO,BUTA,134.0,BUTA,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,
BIO,BUTL,135.0,BUTL,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,
BIO,C1C2,143.0,C1C2,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,
BIO,CALK,144.0,CALK,BIO,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,,,,,,,,,,,,,
BIO,CARO,149.0,CARO,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,
BIO,CBDV,152.0,CBDV,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,
BIO,CDOM,,,,,,,,,,,,,CDOMZZ01,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,,BIO,,,CDOM,mg/m^3,,,http://vocab.nerc.ac.uk/collection/P01/current/CDOMZZ01/,CDOMZZ01
BIO,CDOMSDEV,,,,,,,,,,,,,,,,BIO,,,CDOMSDEV,mg/m^3,,,,
BIO,CDWT,,,,,,,,,,,,,,,,BIO,,,CDWT,,,,,
BIO,CHLR,173.0,CHLR,BIO,A,Physical Oceanography,Océanographie physique,gram per kilogram,gramme par kilogramme,,,,,,,grams per kilogram,BIO,,UGKG,CHLR,g/kg,,,,
BIO,CHLS,176.0,CHLS,BIO,A,Physical Oceanography,Océanographie physique,kilogram per metre cube,kilogramme par mètre cube,,,,,CLXXIETX,Concentration of chloride {Cl- CAS 16887-00-6} per unit volume of the water body [dissolved plus reactive particulate phase] by ion-selective electrode,kilograms per cubic metre,BIO,,UKMC,CHLS,kg/m^3,,,http://vocab.nerc.ac.uk/collection/P01/current/CLXXIETX/,CLXXIETX
BIO,CIDA,181.0,CIDA,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,
BIO,CLC3,183.0,CLC3,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,
BIO,CMET,,,,,,,,,,,,,,,,BIO,,,CMET,,,,,
BIO,CMNT,,,,,,,,,,,,,,,,BIO,,,CMNT,,,,,
BIO,CMTM,203.0,CMTM,BIO,A,Date and time within day,Date et temps dans une journée,text,texte,,,,,,,,BIO,time,,CMTM,,time,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0115/,,
BIO,CNDC,205.0,CNDC,BIO,A,Physical Oceanography,Océanographie physique,mho per metre,mho par mètre,,,,,CNDCZZ01,Electrical conductivity of the water body,,BIO,sea_water_electrical_conductivity,,CNDC,mhos/m,sea_water_electrical_conductivity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0394/,http://vocab.nerc.ac.uk/collection/P01/current/CNDCZZ01/,CNDCZZ01
BIO,CNTR,209.0,CNTR,BIO,A,Instrument characteristics,Caractéristiques de l'instrument,dimensionless,sans dimension,,,,,,,,BIO,,,CNTR,,,,,
BIO,CNTR,209.0,CNTR,BIO,A,Instrument characteristics,Caractéristiques de l'instrument,dimensionless,sans dimension,,,,,,,,BIO,,,CNTR,,,,,
BIO,CNTS,,,,,,,,,,,,,,,,BIO,,,CNTS,,,,,
BIO,COLL,,,,,,,,,,,,,,,,BIO,,,COLL,,,,,
BIO,COND,212.0,COND,BIO,A,Physical Oceanography,Océanographie physique,millimho,millimho,,,,,,,,BIO,sea_water_electrical_conductivity,,COND,mmHo,sea_water_electrical_conductivity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0394/,,
BIO,COND,212.0,COND,BIO,A,Physical Oceanography,Océanographie physique,millimho,millimho,,,,,CNDCZZ01,Electrical conductivity of the water body,,BIO,sea_water_electrical_conductivity,,COND,mmHo,sea_water_electrical_conductivity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0394/,http://vocab.nerc.ac.uk/collection/P01/current/CNDCZZ01/,CNDCZZ01
BIO,CORG,215.0,CORG,BIO,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,,CORGRGFF,Concentration of organic carbon {organic_C CAS 7440-44-0} {POC} per unit volume of the water body [particulate >GF/F phase],millimoles per cubic metre,BIO,mole_concentration_of_dissolved_organic_carbon_in_sea_water,MMCM,CORG,mmol/m^3,mole_concentration_of_dissolved_organic_carbon_in_sea_water,http://vocab.nerc.ac.uk/collection/P07/current/CF14N31/,,
BIO,CPCT,,,,,,,,,,,,,,,,BIO,,,CPCT,%,,,,
BIO,CPHL,222.0,CPHL,BIO,A,Chemistry,Chimie,milligram per metre cube,milligramme par mètre cube,,,,,CPHLZZXX,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase],milligrams per cubic metre,BIO,mass_concentration_of_chlorophyll_a_in_sea_water,UMMC,CPHL,mg/m^3,mass_concentration_of_chlorophyll_a_in_sea_water,http://vocab.nerc.ac.uk/collection/P07/current/CF14N7/,http://vocab.nerc.ac.uk/collection/P01/current/CPHLZZXX/,CPHLZZXX
BIO,CRAT,227.0,CRAT,BIO,A,Physical Oceanography,Océanographie physique,dimensionless,sans dimension,,,,,,,,BIO,,,CRAT,,,,,
BIO,CTAX,,,,,,,,,,,,,,,,BIO,,,CTAX,,,,,
BIO,CTOT,243.0,CTOT,BIO,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,,MDMAP011,Concentration of total carbon {total_C CAS 7440-44-0} per unit volume of the water body [particulate >unknown phase],millimols per cubic metre,BIO,,MMCM,CTOT,mmol/m^3,,,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP011/,MDMAP011
BIO,DCHG,281.0,DCHG,BIO,A,Physical Oceanography,Océanographie physique,metre cube per second,mètre cube par seconde,,,,,,,,BIO,,,DCHG,m^3 / s,,,,
BIO,DCHG,281.0,DCHG,BIO,A,Physical Oceanography,Océanographie physique,metre cube per second,mètre cube par seconde,,,,,,,,BIO,,,DCHG,,,,,
BIO,DENS,289.0,DENS,BIO,A,Physical Oceanography,Océanographie physique,kilogram per metre cube,kilogramme par mètre cube,,,,,DENSWB01,Density of the water body by gravimetry,kilograms per cubic metre,BIO,sea_water_density,UKMC,DENS,kg/m^3,sea_water_density,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0393/,http://vocab.nerc.ac.uk/collection/P01/current/DENSWB01/,DENSWB01
BIO,DEPH,294.0,DEPH,BIO,A,Position and navigation,Position et navigation,metre,mètre,,,,,,,metres,BIO,,ULAA,DEPH,metres,,,,
BIO,DEPO,298.0,DEPO,BIO,A,Position and navigation,Position et navigation,metre,mètre,,,,,ADEPZZ01,Depth below surface of the water body,metres,BIO,,ULAA,DEPO,metres,,,http://vocab.nerc.ac.uk/collection/P01/current/ADEPZZ01/,ADEPZZ01
BIO,DEWT,304.0,DEWT,BIO,A,Meteorology,Météorologie,degree Celsius,degré Celsius,,,,,CDEWZZ01,Dew point temperature of the atmosphere,degrees Celsius,BIO,dew_point_temperature,UPAA,DEWT,degrees Celsius,dew_point_temperature,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0723/,http://vocab.nerc.ac.uk/collection/P01/current/CDEWZZ01/,CDEWZZ01
BIO,DIAD,309.0,DIAD,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,
BIO,DIAT,310.0,DIAT,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,
BIO,DOC_,,,,,,,,,,,,,CORGZZZX,Concentration of organic carbon {organic_C CAS 7440-44-0} {DOC} per unit volume of the water body [dissolved plus reactive particulate phase],,BIO,mole_concentration_of_dissolved_organic_carbon_in_sea_water,,DOC_,mmol/m^3,mole_concentration_of_dissolved_organic_carbon_in_sea_water,http://vocab.nerc.ac.uk/collection/P07/current/CF14N31/,http://vocab.nerc.ac.uk/collection/P01/current/CORGZZZX/,CORGZZZX
BIO,DON_,,,,,,,,,,,,,NOTOTZZXX,Concentration of total nitrogen {total_N} per unit volume of the water body [dissolved plus reactive particulate phase],,BIO,mass_concentration_of_organic_nitrogen_in_sea_water,,DON_,mmol/m^3,,,,
BIO,DOXY,334.0,DOXY,BIO,A,Biological Oceanography,Océanographie biologique,millilitre per litre,millilitre par litre,,,,,DOXYZZ01,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,milliliters per litre,BIO,,UMLL,DOXY,ml/L,,,http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZ01/,DOXYZZ01
BIO,DPDT,339.0,DPDT,BIO,A,Instrument characteristics,Caractéristiques de l'instrument,metre per second,mètre par seconde,,,,,,,metres per second,BIO,,UVAA,DPDT,metres/ second,,,,
BIO,DRDP,350.0,DRDP,BIO,A,Physical Oceanography,Océanographie physique,metre,mètre,,,,,,,metres,BIO,,ULAA,DRDP,metres,,,,
BIO,DRWT,,,,,,,,,,,,,,,,BIO,,,DRWT,g,,,,
BIO,DRYT,359.0,DRYT,BIO,A,Meteorology,Météorologie,degree Celsius,degré Celsius,,,,,CDTASS01,Temperature of the atmosphere by dry bulb thermometer,degrees Celsius,BIO,,UPAA,DRYT,degrees celsuis,,,http://vocab.nerc.ac.uk/collection/P01/current/CDTASS01/,CDTASS01
BIO,DYNH,375.0,DYNH,BIO,A,Physical Oceanography,Océanographie physique,metre,mètre,,,,,,,metres,BIO,geopotential_height,ULAA,DYNH,m,geopotential_height,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0628/,,
BIO,ERRV,397.0,ERRV,BIO,A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,,,,LERRAP01,Current velocity error in the water body by moored acoustic doppler current profiler (ADCP),metres per second,BIO,,UVAA,ERRV,m/s,,,http://vocab.nerc.ac.uk/collection/P01/current/LERRAP01/,LERRAP01
BIO,EWCM,404.0,EWCM,BIO,A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,,,,,,metres per second,BIO,eastward_sea_water_velocity,UVAA,EWCM,m/s,eastward_sea_water_velocity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0650/,,
BIO,EWCT,407.0,EWCT,BIO,A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,,,,LCEWZZ01,Eastward current velocity in the water body,metres per second,BIO,eastward_sea_water_velocity,UVAA,EWCT,m/s,eastward_sea_water_velocity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0650/,http://vocab.nerc.ac.uk/collection/P01/current/LCEWZZ01/,LCEWZZ01
BIO,FFFF,421.0,FFFF,BIO,A,General purpose,Tout usage,code table,table de code,,,,,,,,BIO,,,FFFF,code,,,,
BIO,FLOR,428.0,FLOR,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,BIO,,,FLOR,mg/ m^3,,,,
BIO,FLOR,428.0,FLOR,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,FLUOZZZZ,Fluorescence of the water body,,BIO,,,FLOR,,,,http://vocab.nerc.ac.uk/collection/P01/current/FLUOZZZZ/,FLUOZZZZ
BIO,FLORSDEV,,,,,,,,,,,,,,,,BIO,,,FLORSDEV,mg/m^3,,,,
BIO,FLU_,,,,,,,,,,,,,,,,BIO,,,FLU_,%,,,,
BIO,FUCX,450.0,FUCX,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,
BIO,GDIR,459.0,GDIR,BIO,A,Meteorology,Météorologie,degree(angle),degré(angle),,,,,EGTDZZ01,Direction from of wind (gust) relative to True North {wind direction} in the atmosphere,degrees,BIO,wind_gust_from_direction,UAAA,GDIR,degrees,wind_gust_from_direction,http://vocab.nerc.ac.uk/collection/P07/current/LIZMDSCX/,http://vocab.nerc.ac.uk/collection/P01/current/EGTDZZ01/,EGTDZZ01
BIO,GEAR,,,,,,,,,,,,,,,,BIO,,,GEAR,none,,,,
BIO,GEOP,467.0,GEOP,BIO,A,Physical Oceanography,Océanographie physique,dimensionless,sans dimension,,,,,,,,BIO,geopotential,,GEOP,,geopotential,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0627/,,
BIO,GSPD,506.0,GSPD,BIO,A,Meteorology,Météorologie,metre per second,mètre par seconde,,,,,EGTSZZ01,Speed of wind (gust) {wind speed} in the atmosphere,metres per second,BIO,wind_speed_of_gust,UVAA,GSPD,m/s,wind_speed_of_gust,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0039/,http://vocab.nerc.ac.uk/collection/P01/current/EGTSZZ01/,EGTSZZ01
BIO,HCDM,515.0,HCDM,BIO,A,Physical Oceanography,Océanographie physique,degree(angle),degré(angle),,,,,LCDAZZ01,Current direction in the water body,degrees,BIO,,UAAA,HCDM,degrees,,,http://vocab.nerc.ac.uk/collection/P01/current/LCDAZZ01/,LCDAZZ01
BIO,HCDT,518.0,HCDT,BIO,A,Physical Oceanography,Océanographie physique,degree(angle),degré(angle),,,,,,,degrees,BIO,,UAAA,HCDT,degrees,,,,
BIO,HCSP,522.0,HCSP,BIO,A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,,,,LCSAZZ01,Current speed (Eulerian) in the water body,metres per second,BIO,barotropic_sea_water_x_velocity,UVAA,HCSP,m/s,barotropic_sea_water_x_velocity,http://vocab.nerc.ac.uk/collection/P07/current/CF12N188/,http://vocab.nerc.ac.uk/collection/P01/current/LCSAZZ01/,LCSAZZ01
BIO,HEX1,528.0,HEX1,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,
BIO,HEX2,529.0,HEX2,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,
BIO,HEXO,530.0,HEXO,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,
BIO,HGHT,531.0,HGHT,BIO,A,Position and navigation,Position et navigation,metre,mètre,,,,,,,metres,BIO,height_above_mean_sea_level,ULAA,HGHT,metres,height_above_mean_sea_level,http://vocab.nerc.ac.uk/collection/P07/current/8BFOBHU2/,,
BIO,HSUL,554.0,HSUL,BIO,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,,H2SXZZXX,Concentration of hydrogen sulphide {H2S CAS 7783-06-4} per unit volume of the water body [dissolved plus reactive particulate phase],millimoles per cubic metre,BIO,,MMCM,HSUL,mmol/m^3,,,http://vocab.nerc.ac.uk/collection/P01/current/H2SXZZXX/,H2SXZZXX
BIO,IDEN,,,,,,,,,,,,,,,,BIO,,,IDEN,,,,,
BIO,LATD,595.0,LATD,BIO,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,,,,ALATZZ01,Latitude north,degrees,BIO,latitude,UAAA,LATD,degrees,latitude,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0600/,http://vocab.nerc.ac.uk/collection/P01/current/ALATZZ01/,ALATZZ01
BIO,LCHL,,,,,,,,,,,,,,,,BIO,,,LCHL,mg/m^3,,,,
BIO,LHIS,,,,,,,,,,,,,,,,BIO,,,LHIS,,,,,
BIO,LOND,615.0,LOND,BIO,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,,,,ALONZZ01,Longitude east,degrees,BIO,longitude,UAAA,LOND,degrees,longitude,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0554/,http://vocab.nerc.ac.uk/collection/P01/current/ALONZZ01/,ALONZZ01
BIO,LPHA,,,,,,,,,,,,,,,,BIO,,,LPHA,mg/m^3,,,,
