group,station,longitude,latitude,depth_m,comments,
BIO,LSC01,-50.5,60.0,,,
BIO,LSC02,-51.1,60.0,,,
BIO,LSC03,-51.75,60.0,,,
BIO,LSC04,-52.4,60.0,,,
BIO,LSC05,-53.1,59.5,,,
BIO,LSC06,-53.16,59.0,,,
BIO,LSC07,-53.25,58.5,,,
BIO,LSC08,-53.3,58.0,,,
BIO,LSC09,-53.4,57.5,,,
BIO,LSC10,-53.5,57.0,,,
BIO,LSC11,-53.6,56.5,,,
BIO,NEC01,-65.743,42.418,-96.08,,
BIO,NEC02,-65.808,42.337,-210.9,,
BIO,NEC03,-65.84,42.3,-206.82,,
BIO,NEC04,-65.87,42.272,-227.03,,
BIO,NEC05,-65.903,42.233,-233.17,,
BIO,NEC06,-65.938,42.2,-236.55,,
BIO,NEC07,-65.968,42.163,-250.0,,
BIO,NEC08,-66.037,42.118,-198.34,,
BIO,NEC09,-66.083,42.062,-117.68,,
BIO,NEC10,-66.142,41.99,-87.25,,
BIO,NL01,-59.6745,46.1555,-42,,
BIO,NL02,-61.6928,44.3383,-155,,
BIO,NL03,-63.1667,43.975,-180,,
BIO,OS00,-52.325,52.58583,,,
BIO,OS01,-51.958,52.69333,,,
BIO,OS02,-51.70633,52.74833,,,
BIO,OS03,-51.56118,52.80347,,,
BIO,OS04,-51.50383,52.87083,,,
BIO,PL01,-70.008,43.034,-132.67,,
BIO,PL02,-69.557,42.955,-167.42,,
BIO,PL03,-69.106,42.876,-176.01,,
BIO,PL04,-68.655,42.789,-193.25,,
BIO,PL05,-68.204,42.702,-183.28,,
BIO,PL06,-67.753,42.626,-197.28,,
BIO,PL07,-67.302,42.553,-288.87,,
BIO,PL08,-66.851,42.462,-310.7,,
BIO,PL09,-66.4,42.378,-264.78,,
BIO,Prince5,-66.85,44.952,,,
BIO,RL00,-64.8803,43.561,-86.0,,
BIO,RL01,-65.0532,43.252,-160.0,,
BIO,RL01.5,-64.7513,43.3975,-60.0,,
BIO,RL02,-64.6175,43.2503,-113.0,,
BIO,RL03,-64.399,43.0003,-110.0,,
BIO,RL04,-64.1693,42.7453,-207.0,,
BIO,RL05,-64.0832,42.6208,-931.0,,
BIO,RL06,-63.8748,42.3123,-1800.0,,
BIO,RL06,-63.8748,42.3123,-1800,Rossway Bank Line,
BIO,RL07,-63.516,41.8175,-3691,Rossway Bank Line,
BIO,RL08,-63.1142,41.3075,-3994,Rossway Bank Line,
BIO,sarniff,-63.25,44.3,-145,,
BIO,SG23,-58.7357,43.8695,-1091,,
BIO,SG28,-59.0002,43.7,-820,,
BIO,Shediac,-64.0333,47.78333,,,
BIO,SIB,-59.5823,43.5678,-1000,Sable Island Bank,
BIO,SIB01,-61.9025,44.8577,-66,Sable Island Bank,
BIO,SIB02,-61.5388,44.5103,-148,Sable Island Bank,
BIO,SIB03,-61.2655,44.2522,-120,Sable Island Bank,
BIO,SIB04,-61.0592,44.049,-58,Sable Island Bank,
BIO,SIB05,-60.6402,43.6598,-60,Sable Island Bank,
BIO,SIB06,-60.3432,43.3122,-1589,Sable Island Bank,
BIO,SIB07,-60.1443,43.1198,-1852,Sable Island Bank,
BIO,SIB08,-59.7792,42.6967,-2560,Sable Island Bank,
BIO,SPB05.5,-55.84,45.06,-82.01,,
BIO,SPB06,-55.84,44.902,-248.42,,
BIO,SPB07,-55.84,44.866,-509.71,,
BIO,SPB07.5,-55.84,44.82,-779.08,,
BIO,SPB08,-55.84,44.76,-1089.09,,
BIO,SPB09,-55.84,44.53,-2244.22,,
BIO,SPB10,-55.84,44.24,-2911.26,,
BIO,SPB11,-55.8333,43.7313,-3400,,
BIO,SSB00,-60.8905,42.9848,-2000,,
BIO,SSB02,-60.7497,42.8057,-2822,,
BIO,SSB04,-60.4495,42.4248,-4000,,
BIO,SSE,-60.6365,42.5877,-3192,,
BIO,SSB00.5,-60.8167,42.8667,-2489,,
BIO,SSB1,-60.8167,42.9167,-2500,,
BIO,SSB3,-60.6167,42.5833,-3188,,
BIO,SSB5,-60.3167,42.2,-4200,,
