Vocabulary,name,Users,accepted_units,accepted_scale,accepted_instruments,calibration_review,apply_function,variable_name,long_name,units,instrument,scale,standard_name,sdn_parameter_urn,sdn_parameter_name,sdn_uom_urn,sdn_uom_name,definition,convention,GF3_name,SDN:P01::Alternative Name
GF3,CTAX,"BIO,MEDS",,,,,,,,,,,,,,,,,,CTAX,
GF3,CTF$,MEDS,,,,,,,,,,,,,,,,,,CTF$,
GF3,CTOT,"BIO,IML,MEDS",mmol/m^3|millimole per metre cube,,,,,MDMAP011,,mmol/m^3,,,,SDN:P01::MDMAP011,Concentration of total carbon {total_C CAS 7440-44-0} per unit volume of the water body [particulate >unknown phase],SDN:P06::MMCM,Millimoles per cubic metre,Concentration of total carbon {total_C CAS 7440-44-0} per unit volume of the water body [particulate >unknown phase],,CTOT,PTC
GF3,CTP$,MEDS,,,,,,,,,,,,,,,,,,CTP$,
GF3,CTS$,MEDS,,,,,,,,,,,,,,,,,,CTS$,
GF3,CTY$,MEDS,,,,,,,,,,,,,,,,,,CTY$,
GF3,CVTQ,MEDS,degree Celsius gram per kilogram,,,,,,,degree Celsius gram per kilogram,,,,,,,,,,CVTQ,
GF3,CVWQ,MEDS,metre gram per second kilogram,,,,,,,metre gram per second kilogram,,,,,,,,,,CVWQ,
GF3,CVWS,MEDS,metre square per second square,,,,,,,metre square per second square,,,,,,,,,,CVWS,
GF3,CVWT,MEDS,degree Celsius metre per second,,,,,,,degree Celsius metre per second,,,,,,,,,,CVWT,
GF3,DAT#,MEDS,,,,,,,,,,,,,,,,,,DAT#,
GF3,DATE,MEDS,,,,,,,,,,,,,,,,,,DATE,
GF3,DATM,MEDS,,,,,,,,,,,,,,,,,,DATM,
GF3,DAYS,MEDS,,,,,,,,,,,,,,,,,,DAYS,
GF3,DCHG,"BIO,IML",m^3/s|metre cube per second|m**3/s,,,,,,,m^3/s,,,,,,SDN:P06::CMPS,Cubic metres per second,,,DCHG,
GF3,DCLN,MEDS,degree,,,,,,,degree,,,,,,SDN:P06::UAAA,Degrees,,,DCLN,
GF3,DDB$,MEDS,,,,,,,,,,,,,,,,,,DDB$,
GF3,DDS$,MEDS,,,,,,,,,,,,,,,,,,DDS$,
GF3,DEB$,MEDS,,,,,,,,,,,,,,,,,,DEB$,
GF3,DEC$,MEDS,,,,,,,,,,,,,,,,,,DEC$,
GF3,DENS,"BIO,IML,MEDS",kilogram per metre cube|kg/m^3,,,,,DENSWB01,,kilogram per metre cube,,,sea_water_density,SDN:P01::DENSWB01,Density of the water body by gravimetry,SDN:P06::UKMC,Kilograms per cubic metre,Density of the water body by gravimetry,,DENS,WaterDens
GF3,DEOW,MEDS,,,,,,,,,,,,,,,,,,DEOW,
GF3,DEPH,"BIO,IML,MEDS",metre|metres,,,,,ADEPZZ01,Depth,metre,,,depth,SDN:P01::ADEPZZ01,Depth (spatial coordinate) relative to water surface in the water body,SDN:P06::ULAA,Metres,The distance of a sensor or sampling point below the sea surface,,DEPH,DepBelowSurf
GF3,DEPO,BIO,metre,,,,,ADEPZZ01,,metre,,,,SDN:P01::ADEPZZ01,Depth (spatial coordinate) relative to water surface in the water body,SDN:P06::ULAA,Metres,Depth (spatial coordinate) relative to water surface in the water body,,DEPO,DepBelowSurf
GF3,DEPT,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,DEPT,
GF3,DEQ$,MEDS,,,,,,,,,,,,,,,,,,DEQ$,
GF3,DET$,MEDS,,,,,,,,,,,,,,,,,,DET$,
GF3,DEWD,MEDS,degree Celsius,,,,,,,degree Celsius,,,,,,SDN:P06::UPAA,Degrees Celsius,,,DEWD,
GF3,DEWT,"BIO,IML,MEDS",degree Celsius,,,,,CDEWZZ01,,degree Celsius,,,dew_point_temperature,SDN:P01::CDEWZZ01,Dew point temperature of the atmosphere,SDN:P06::UPAA,Degrees Celsius,Dew point temperature of the atmosphere,,DEWT,DewPoint
GF3,DHM$,MEDS,,,,,,,,,,,,,,,,,,DHM$,
GF3,DIAD,BIO,milligram per metre cube,,,,,,,milligram per metre cube,,,,,,,,,,DIAD,
GF3,DIAT,BIO,milligram per metre cube,,,,,,,milligram per metre cube,,,,,,,,,,DIAT,
GF3,DIC$,MEDS,millimole per metre cube,,,,,,,millimole per metre cube,,,,,,,,,,DIC$,
GF3,DICW,MEDS,micromole per kilogram,,,,,,,micromole per kilogram,,,,,,SDN:P06::KGUM,Micromoles per kilogram,,,DICW,
GF3,DIRM,MEDS,degree,,,,,,,degree,,,,,,SDN:P06::UAAA,Degrees,,,DIRM,
GF3,DIRT,MEDS,degree,,,,,,,degree,,,,,,SDN:P06::UAAA,Degrees,,,DIRT,
GF3,DISE,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,DISE,
GF3,DISN,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,DISN,
GF3,DKT$,MEDS,,,,,,,,,,,,,,,,,,DKT$,
GF3,DLA$,MEDS,degree,,,,,,,degree,,,,,,SDN:P06::UAAA,Degrees,,,DLA$,
GF3,DLO$,MEDS,degree,,,,,,,degree,,,,,,SDN:P06::UAAA,Degrees,,,DLO$,
GF3,DLT$,MEDS,degree,,,,,,,degree,,,,,,SDN:P06::UAAA,Degrees,,,DLT$,
GF3,DMH$,MEDS,,,,,,,,,,,,,,,,,,DMH$,
GF3,DML$,MEDS,,,,,,,,,,,,,,,,,,DML$,
GF3,DMN$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,DMN$,
GF3,DMSP,MEDS,nanomole per litre,,,,,,,nanomole per litre,,,,,,SDN:P06::UPNM,Nanomoles per litre,,,DMSP,
GF3,DN3$,MEDS,,,,,,,,,,,,,,,,,,DN3$,
GF3,DOC$,MEDS,millimole per metre cube,,,,,,,millimole per metre cube,,,,,,,,,,DOC$,
GF3,DOC_,"BIO,IML,MEDS",mmol/m^3,,,,,CORGZZZX,,mmol/m^3,,,mole_concentration_of_dissolved_organic_carbon_in_sea_water,SDN:P01::CORGZZZX,Concentration of organic carbon {organic_C CAS 7440-44-0} {DOC} per unit volume of the water body [dissolved plus reactive particulate phase],SDN:P06::MMCM,Millimoles per cubic metre,Concentration of organic carbon {organic_C CAS 7440-44-0} {DOC} per unit volume of the water body [dissolved plus reactive particulate phase],,DOC_,DOC
GF3,DON$,MEDS,millimole per metre cube,,,,,,,millimole per metre cube,,,,,,,,,,DON$,
GF3,DON_,"BIO,IML",mmol/m^3,,,,,,,mmol/m^3,,,,,,SDN:P06::MMCM,Millimoles per cubic metre,,,DON_,
GF3,DOX$,MEDS,millilitre per litre,,,,,,,millilitre per litre,,,,,,SDN:P06::UMLL,Millilitres per litre,,,DOX$,
GF3,DOXY,"BIO,IML,MEDS",ml/L|millilitre per litre|ml/l,,,,,DOXYZZ01,,ml/L,,,volume_fraction_of_oxygen_in_sea_water,SDN:P01::DOXYZZ01,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,SDN:P06::UMLL,Millilitres per litre,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,,DOXY,WC_dissO2_IS
GF3,DOXY,"BIO,IML,MEDS",ml/L|millilitre per litre|ml/l,,bottle|sample,,,DOXYWITX,,ml/L,Winkler Titration,,volume_fraction_of_oxygen_in_sea_water,SDN:P01::DOXYWITX,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by Winkler titration,SDN:P06::UMLL,Millilitres per litre,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by Winkler titration,,DOXY,WC_dissO2_Winkler
GF3,DPDT,"BIO,IML,MEDS",metre/second|metre per second|metres/sec,,,,,,,metre/second,,,,,,SDN:P06::UVAA,Metres per second,,,DPDT,
GF3,DPI$,MEDS,,,,,,,,,,,,,,,,,,DPI$,
GF3,DPO$,MEDS,,,,,,,,,,,,,,,,,,DPO$,
GF3,DPP$,MEDS,,,,,,,,,,,,,,,,,,DPP$,
GF3,DPS$,MEDS,hour,,,,,,,hour,,,,,,SDN:P06::UHOR,Hours,,,DPS$,
GF3,DPSF,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,DPSF,
GF3,DPT$,MEDS,,,,,,,,,,,,,,,,,,DPT$,
GF3,DRD$,MEDS,,,,,,,,,,,,,,,,,,DRD$,
GF3,DRDP,"BIO,IML,MEDS",metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,DRDP,
GF3,DRHR,MEDS,hour,,,,,,,hour,,,,,,SDN:P06::UHOR,Hours,,,DRHR,
GF3,DRMN,MEDS,minute,,,,,,,minute,,,,,,SDN:P06::UMIN,Minutes,,,DRMN,
GF3,DRSC,MEDS,second,,,,,,,second,,,,,,SDN:P06::UTBB,Seconds,,,DRSC,
GF3,DRT$,MEDS,,,,,,,,,,,,,,,,,,DRT$,
GF3,DRWT,"BIO,MEDS",g,,,,,,,g,,,,,,SDN:P06::UGRM,Grams,,,DRWT,
GF3,DRYT,"BIO,IML,MEDS",degree Celsius|degree celsuis|degrees C,,,,,CDTASS01,,degree Celsius,,,,SDN:P01::CDTASS01,Temperature of the atmosphere by dry bulb thermometer,SDN:P06::UPAA,Degrees Celsius,Temperature of the atmosphere by dry bulb thermometer,,DRYT,AirTemp
GF3,DSI$,MEDS,,,,,,,,,,,,,,,,,,DSI$,
GF3,DSO$,MEDS,,,,,,,,,,,,,,,,,,DSO$,
GF3,DSP1,MEDS,,,,,,,,,,,,,,,,,,DSP1,
GF3,DSP2,MEDS,,,,,,,,,,,,,,,,,,DSP2,
GF3,DT2$,MEDS,,,,,,,,,,,,,,,,,,DT2$,
GF3,DTC$,MEDS,,,,,,,,,,,,,,,,,,DTC$,
GF3,DTDZ,MEDS,degree Celsius per metre,,,,,,,degree Celsius per metre,,,,,,SDN:P06::UPCC,Degrees Celsius per metre,,,DTDZ,
GF3,DTE$,MEDS,,,,,,,,,,,,,,,,,,DTE$,
GF3,DTH$,MEDS,,,,,,,,,,,,,,,,,,DTH$,
GF3,DTL$,MEDS,,,,,,,,,,,,,,,,,,DTL$,
GF3,DYNH,"BIO,IML",m|metre,,,,,,,m,,,geopotential_height,,,SDN:P06::ULAA,Metres,,,DYNH,
GF3,EAG1,MEDS,,,,,,,,,,,,,,,,,,EAG1,
GF3,EAZM,MEDS,degree,,,,,,,degree,,,,,,SDN:P06::UAAA,Degrees,,,EAZM,
GF3,EDAT,MEDS,minute,,,,,,,minute,,,,,,SDN:P06::UMIN,Minutes,,,EDAT,
GF3,EEEE,MEDS,,,,,,,,,,,,,,,,,,EEEE,
GF3,EIT$,MEDS,,,,,,,,,,,,,,,,,,EIT$,
GF3,ELA$,MEDS,degree,,,,,,,degree,,,,,,SDN:P06::UAAA,Degrees,,,ELA$,
GF3,ELAT,MEDS,degree,,,,,,,degree,,,,,,SDN:P06::UAAA,Degrees,,,ELAT,
GF3,ELEV,MEDS,degree,,,,,,,degree,,,,,,SDN:P06::UAAA,Degrees,,,ELEV,
GF3,ELO$,MEDS,degree,,,,,,,degree,,,,,,SDN:P06::UAAA,Degrees,,,ELO$,
GF3,ELON,MEDS,degree,,,,,,,degree,,,,,,SDN:P06::UAAA,Degrees,,,ELON,
GF3,EMAJ,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,EMAJ,
GF3,EMIN,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,EMIN,
GF3,ERRV,"BIO,IML,MEDS",m/s|metre per second|M/s,,,,,LERRAP01,,m/s,,,,SDN:P01::LERRAP01,Error velocity of water current in the water body by moored acoustic doppler current profiler (ADCP),SDN:P06::UVAA,Metres per second,Error velocity of water current in the water body by moored acoustic doppler current profiler (ADCP),,ERRV,ADCPER
GF3,ERS$,MEDS,percent,,,,,,,percent,,,,,,SDN:P06::UPCT,Percent,,,ERS$,
GF3,EST$,MEDS,degree Celsius,,,,,,,degree Celsius,,,,,,SDN:P06::UPAA,Degrees Celsius,,,EST$,
GF3,ETHR,MEDS,hour,,,,,,,hour,,,,,,SDN:P06::UHOR,Hours,,,ETHR,
GF3,ETMN,MEDS,minute,,,,,,,minute,,,,,,SDN:P06::UMIN,Minutes,,,ETMN,
GF3,ETSC,MEDS,second,,,,,,,second,,,,,,SDN:P06::UTBB,Seconds,,,ETSC,
GF3,EVEL,MEDS,,,,,,,,,,,,,,,,Error Velocity (ADCP). Unit: mm/s,,EVEL,
GF3,EWCM,"BIO,IML,MEDS",m/s|metre per second,,,,,,,m/s,,,eastward_sea_water_velocity,,,SDN:P06::UVAA,Metres per second,,,EWCM,
GF3,EWCS,MEDS,mm/s,,,,,,,mm/s,,,,,,SDN:P06::UVCC,Millimetres per second,East (true) Component of Current (mm/s),,EWCS,
GF3,EWCT,"BIO,IML,MEDS",m/s|metre per second|M/s,,,,,LCEWZZ01,,m/s,,,eastward_sea_water_velocity,SDN:P01::LCEWZZ01,Eastward velocity of water current in the water body,SDN:P06::UVAA,Metres per second,Eastward velocity of water current in the water body,,EWCT,CurrVelE
GF3,EXP$,MEDS,,,,,,,,,,,,,,,,,,EXP$,
GF3,F11$,MEDS,picomole per kilogram,,,,,,,picomole per kilogram,,,,,,SDN:P06::KGPM,Picomoles per kilogram,,,F11$,
GF3,F12$,MEDS,picomole per kilogram,,,,,,,picomole per kilogram,,,,,,SDN:P06::KGPM,Picomoles per kilogram,,,F12$,
GF3,FD1$,MEDS,,,,,,,,,,,,,,,,,,FD1$,
GF3,FD2$,MEDS,,,,,,,,,,,,,,,,,,FD2$,
GF3,FDO$,MEDS,,,,,,,,,,,,,,,,,,FDO$,
GF3,FDT$,MEDS,,,,,,,,,,,,,,,,,,FDT$,
GF3,FFFF,"BIO,IML,MEDS",none,,,,,,,none,,,,,,,,,,,
GF3,FIXF,MEDS,,,,,,,,,,,,,,,,,,FIXF,
GF3,FLO1,MEDS,milligram per litre,,,,,,,milligram per litre,,,,,,SDN:P06::UMGL,Milligrams per litre,,,FLO1,
BIO,FLOR,"BIO,IML,MEDS",mg/m^3|mg/m**3|milligram per metre cube|ug/L|ug/l,,fluoresdence|fluo|Flourescence|^FSP_,,,CPHLPR01,,mg/m^3,,,mass_concentration_of_chlorophyll_in_sea_water,SDN:P01::CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,chl-a_water_ISfluor
BIO,FLOR,"BIO,IML,MEDS",mg/m^3|mg/m**3|milligram per metre cube|ug/L|ug/l,,^FSPUV_,,,FLOR_SPUV,,mg/m^3,,,,,,,,,,FLOR,
BIO,FLOR,"BIO,IML,MEDS",mg/m^3|mg/m**3|milligram per metre cube|ug/L|ug/l,,cdom,,,,,mg/m^3,,,,SDN:P01::CDOMZZ01,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,CDOM_fluor
BIO,FLOR,,mg/m^3,,^FWETLABS_,,,FLOR_WETLABS,,mg/m^3,,,,,,,,,,FLOR,
BIO,FLOR,,mg/m**3|ug/L|ug/l,,^FC_,,,FLOR_FC,,mg/m^3,,,,,,,,,,FLOR,
BIO,FLOR,,none|(none),,^FWETLABS_,,,FLOR_WETLABS_noUnits,,,,,,,,,,,,FLOR,
BIO,FLOR,,none|(none),,^FWGREEN,,,FLOR_WGREEN_noUnits,,,,,,,,,,,,FLOR,
BIO,FLOR,,none|(none),,^FC_,,,FLOR_FC_nonUnits,,,,,,,,,,,,FLOR,
BIO,FLOR,,none|(none),,^FSPUV_,,,FLOR_FSPUV_nonUnits,,,,,,,,,,,,FLOR,
BIO,FLOR,,none|(none),,^FSP_,,,FLOR_SP_nonUnits,,,,,,,,,,,,FLOR,
BIO,FLOR,,none|(none),,^FCUVA_,,,FLOR_CUVA_nonUnits,,,,,,,,,,,,FLOR,
BIO,FLOR,,none|(none),,^FLOR_,,,FLOR_unknown,,,,,,,,,,,,FLOR,
GF3,FLU$,MEDS,percent,,,,,,,percent,,,,,,SDN:P06::UPCT,Percent,,,FLU$,
GF3,FLU1,MEDS,milligram per metre cube,,,,,,,milligram per metre cube,,,,,,,,,,FLU1,
GF3,FLU2,MEDS,V|volt,,,,,,,V,,,,,,,,,,FLU2,
GF3,FLUD,MEDS,milligram per metre cube,,,,,,,milligram per metre cube,,,,,,,,,,FLUD,
GF3,FLU_,"BIO,IML,MEDS",percent,,,,,,,percent,,,,,,SDN:P06::UPCT,Percent,,,FLU_,
GF3,FM1$,MEDS,,,,,,,,,,,,,,,,,,FM1$,
GF3,FM2$,MEDS,,,,,,,,,,,,,,,,,,FM2$,
GF3,FMO$,MEDS,,,,,,,,,,,,,,,,,,FMO$,
GF3,FMT$,MEDS,,,,,,,,,,,,,,,,,,FMT$,
GF3,FRE$,MEDS,,,,,,,,,,,,,,,,,,FRE$,
GF3,FREQ,MEDS,hertz,,,,,,,hertz,,,wave_frequency,,,SDN:P06::UTHZ,Hertz,,,FREQ,
GF3,FRQ1,MEDS,hertz,,,,,,,hertz,,,,,,SDN:P06::UTHZ,Hertz,,,FRQ1,
GF3,FRQ2,MEDS,hertz,,,,,,,hertz,,,,,,SDN:P06::UTHZ,Hertz,,,FRQ2,
GF3,FUCX,BIO,milligram per metre cube,,,,,,,milligram per metre cube,,,,,,,,,,FUCX,
GF3,GBGA,MEDS,milligal,,,,,,,milligal,,,,,,,,,,GBGA,
GF3,GCO#,MEDS,,,,,,,,,,,,,,,,,,GCO#,
GF3,GDIR,"BIO,IML,MEDS",degree,,,,,EGTDZZ01,,degree,,,wind_gust_from_direction,SDN:P01::EGTDZZ01,Direction (from) of wind (gust) relative to True North {wind direction} in the atmosphere,SDN:P06::UAAA,Degrees,Direction (from) of wind (gust) relative to True North {wind direction} in the atmosphere,,GDIR,GustWindDirFrom
GF3,GE1$,MEDS,,,,,,,,,,,,,,,,,,GE1$,
GF3,GE2$,MEDS,,,,,,,,,,,,,,,,,,GE2$,
GF3,GE3$,MEDS,,,,,,,,,,,,,,,,,,GE3$,
GF3,GEAR,"BIO,MEDS",none,,,,,,,none,,,,,,,,,,GEAR,
GF3,GEOP,"BIO,IML",dimensionless,,,,,,,dimensionless,,,geopotential,,,SDN:P06::UUUU,Dimensionless,,,GEOP,
GF3,GEOT,MEDS,milligal,,,,,,,milligal,,,,,,,,,,GEOT,
GF3,GFAA,MEDS,milligal,,,,,,,milligal,,,,,,,,,,GFAA,
GF3,GG1$,MEDS,,,,,,,,,,,,,,,,,,GG1$,
GF3,GG2$,MEDS,,,,,,,,,,,,,,,,,,GG2$,
GF3,GG3$,MEDS,,,,,,,,,,,,,,,,,,GG3$,
GF3,GGC$,MEDS,,,,,,,,,,,,,,,,,,GGC$,
GF3,GGCD,MEDS,,,,,,,,,,,,,,,,,,GGCD,
GF3,GGCM,MEDS,,,,,,,,,,,,,,,,,,GGCM,
GF3,GGDI,MEDS,,,,,,,,,,,,,,,,,,GGDI,
GF3,GGEC,MEDS,,,,,,,,,,,,,,,,,,GGEC,
GF3,GGI$,MEDS,,,,,,,,,,,,,,,,,,GGI$,
GF3,GGIN,MEDS,,,,,,,,,,,,,,,,,,GGIN,
GF3,GGK6,MEDS,,,,,,,,,,,,,,,,,,GGK6,
GF3,GGLC,MEDS,,,,,,,,,,,,,,,,,,GGLC,
GF3,GGMS,MEDS,,,,,,,,,,,,,,,,,,GGMS,
GF3,GGQF,MEDS,,,,,,,,,,,,,,,,,,GGQF,
GF3,GGSL,MEDS,,,,,,,,,,,,,,,,,,GGSL,
GF3,GGST,MEDS,,,,,,,,,,,,,,,,,,GGST,
GF3,GGWI,MEDS,,,,,,,,,,,,,,,,,,GGWI,
GF3,GIN$,MEDS,,,,,,,,,,,,,,,,,,GIN$,
GF3,GNC#,MEDS,,,,,,,,,,,,,,,,,,GNC#,
GF3,GNCR,MEDS,,,,,,,,,,,,,,,,,,GNCR,
GF3,GPA$,MEDS,dyne metre,,,,,,,dyne metre,,,geopotential_height_anomaly,,,,,,,GPA$,
GF3,GPT$,MEDS,,,,,,,,,,,,,,,,,,GPT$,
GF3,GRAV,MEDS,milligal,,,,,,,milligal,,,,,,,,,,GRAV,
GF3,GSPD,"BIO,IML,MEDS",m/s|metre per second,,,,,EGTSZZ01,,m/s,,,wind_speed_of_gust,SDN:P01::EGTSZZ01,Speed of wind (gust) {wind speed} in the atmosphere,SDN:P06::UVAA,Metres per second,Speed of wind (gust) {wind speed} in the atmosphere,,GSPD,GustWindSpd
GF3,H00$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,H00$,
GF3,H15$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,H15$,
GF3,H30$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,H30$,
GF3,H45$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,H45$,
GF3,H60$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,H60$,
GF3,HAT$,MEDS,degree Celsius,,,,,,,degree Celsius,,,,,,SDN:P06::UPAA,Degrees Celsius,,,HAT$,
GF3,HCDM,"BIO,IML,MEDS",degree|degrees,,,,,LCDAZZ01,,degree,,,,SDN:P01::LCDAZZ01,Direction (towards) of water current in the water body,SDN:P06::UAAA,Degrees,Direction (towards) of water current in the water body,,HCDM,UnspCurrDir
GF3,HCDT,"BIO,IML,MEDS",degree,,,,,,,degree,,,,,,SDN:P06::UAAA,Degrees,,,HCDT,
GF3,HCSP,"BIO,IML,MEDS",m/s|metre per second,,,,,LCSAZZ01,,m/s,,,barotropic_sea_water_x_velocity,SDN:P01::LCSAZZ01,Speed of water current (Eulerian measurement) in the water body,SDN:P06::UVAA,Metres per second,Speed of water current (Eulerian measurement) in the water body,,HCSP,UnspCurrSpd
GF3,HEAD,MEDS,true degree|True degrees,,,,,,,true degree,,,,,,,,Heading. Units: true degrees.,,HEAD,
GF3,HEX1,BIO,milligram per metre cube,,,,,,,milligram per metre cube,,,,,,,,,,HEX1,
GF3,HEX2,BIO,milligram per metre cube,,,,,,,milligram per metre cube,,,,,,,,,,HEX2,
GF3,HEXO,BIO,milligram per metre cube,,,,,,,milligram per metre cube,,,,,,,,,,HEXO,
GF3,HGHT,"BIO,IML,MEDS",metre,,,,,,,metre,,,height_above_mean_sea_level,,,SDN:P06::ULAA,Metres,,,HGHT,
GF3,HGR$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,HGR$,
GF3,HHMM,MEDS,,,,,,,,,,,,,,,,,,HHMM,
GF3,HIGF,MEDS,hertz,,,,,,,hertz,,,,,,SDN:P06::UTHZ,Hertz,,,HIGF,
GF3,HIN$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,HIN$,
GF3,HIS$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,HIS$,
GF3,HL1$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,HL1$,
GF3,HL2$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,HL2$,
GF3,HM2$,MEDS,,,,,,,,,,,,,,,,,,HM2$,
GF3,HMN$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,HMN$,
GF3,HMT$,MEDS,,,,,,,,,,,,,,,,,,HMT$,
GF3,HMX$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,HMX$,
GF3,HMXR,MEDS,gram per kilogram,,,,,,,gram per kilogram,,,,,,SDN:P06::UGKG,Grams per kilogram,,,HMXR,
GF3,HOG$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,HOG$,
GF3,HOH$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,HOH$,
GF3,HOUR,MEDS,,,,,,,,,,,,,,,,,,HOUR,
GF3,HPR$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,HPR$,
GF3,HSC$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,HSC$,
GF3,HSUL,"BIO,IML,MEDS",mmol/m^3|millimole per metre cube,,,,,H2SXZZXX,,mmol/m^3,,,,SDN:P01::H2SXZZXX,Concentration of hydrogen sulphide {H2S CAS 7783-06-4} per unit volume of the water body [dissolved plus reactive particulate phase],SDN:P06::MMCM,Millimoles per cubic metre,Concentration of hydrogen sulphide {H2S CAS 7783-06-4} per unit volume of the water body [dissolved plus reactive particulate phase],,HSUL,H2S
GF3,HTH$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,HTH$,
GF3,HTL$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,HTL$,
GF3,HTSF,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,HTSF,
GF3,HW1$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,HW1$,
GF3,HW2$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,HW2$,
GF3,HZY$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,HZY$,
GF3,ICD$,MEDS,,,,,,,,,,,,,,,,,,ICD$,
GF3,ICEF,MEDS,,,,,,,,,,,,,,,,,,ICEF,
GF3,ICT$,MEDS,metre,,,,,,,metre,,,sea_ice_thickness,,,SDN:P06::ULAA,Metres,,,ICT$,
GF3,IDEN,"BIO,IML,MEDS",,,,,,,,,,,,,,,,,,IDEN,
GF3,IN1$,MEDS,,,,,,,,,,,,,,,,,,IN1$,
GF3,IN2$,MEDS,,,,,,,,,,,,,,,,,,IN2$,
GF3,IND$,MEDS,hour,,,,,,,hour,,,,,,SDN:P06::UHOR,Hours,,,IND$,
GF3,INS1,MEDS,,,,,,,,,,,,,,,,,,INS1,
GF3,INTP,MEDS,,,,,,,,,,,,,,,,,,INTP,
GF3,INU$,MEDS,hour,,,,,,,hour,,,,,,SDN:P06::UHOR,Hours,,,INU$,
GF3,IRFB,MEDS,nanomole per litre,,,,,,,nanomole per litre,,,,,,SDN:P06::UPNM,Nanomoles per litre,,,IRFB,
GF3,IRUB,MEDS,nanomole per litre,,,,,,,nanomole per litre,,,,,,SDN:P06::UPNM,Nanomoles per litre,,,IRUB,
GF3,IST$,MEDS,,,,,,,,,,,,,,,,,,IST$,
GF3,JPT$,MEDS,,,,,,,,,,,,,,,,,,JPT$,
GF3,KMEF,MEDS,part per million,,,,,,,part per million,,,,,,,,,,KMEF,
GF3,LABT,IML,degree_celsius|Degrees C,,,,,,,degree_celsius,,,,,,SDN:P06::UPAA,Degrees Celsius,Lab temperature for pH calculation,,LABT,
GF3,LAT#,MEDS,degree,,,,,,,degree,,,,,,SDN:P06::UAAA,Degrees,,,LAT#,
GF3,LAT$,MEDS,,,,,,,,,,,,,,,,,,LAT$,
GF3,LATA,MEDS,degree Celsius,,,,,,,degree Celsius,,,,,,SDN:P06::UPAA,Degrees Celsius,,,LATA,
GF3,LATD,"BIO,IML,MEDS",degrees_north|degree|deg|degrees,,,,,ALATZZ01,,degrees_north,,,latitude,SDN:P01::ALATZZ01,Latitude north,SDN:P06::DEGN,Degrees north,Latitude north,,LATD,Lat
GF3,LATI,MEDS,degree,,,,,,,degree,,,,,,SDN:P06::UAAA,Degrees,,,LATI,
