Vocabulary,name,Users,accepted_units,accepted_scale,accepted_instruments,calibration_review,apply_function,variable_name,long_name,units,instrument,scale,standard_name,sdn_parameter_urn,sdn_parameter_name,sdn_uom_urn,sdn_uom_name,definition,convention,GF3_name,SDN:P01::Alternative Name
GF3,669L,"BIO,MEDS",uW/cm^2/nm/sr,,,,,,,uW/cm^2/nm/sr,,,,,,,,,,669L,
GF3,669LSDEV,"BIO,MEDS",uW/cm^2/nm/sr,,,,,,,uW/cm^2/nm/sr,,,,,,,,,,669LSDEV,
GF3,683E,"BIO,MEDS",uW/cm^2/nm,,,,,RXUD683E,,uW/cm^2/nm,,,,SDN:P01::RXUD683E,Downwelling vector irradiance as energy of electromagnetic radiation (683nm wavelength) in the water body by cosine-collector radiometer,,,Downwelling vector irradiance as energy of electromagnetic radiation (683nm wavelength) in the water body by cosine-collector radiometer,,683E,Ed683
GF3,683ESDEV,"BIO,MEDS",uW/cm^2/nm,,,,,,,uW/cm^2/nm,,,,,,,,,,683ESDEV,
GF3,683L,"BIO,MEDS",uW/cm^2/nm/sr,,,,,,,uW/cm^2/nm/sr,,,,,,,,,,683L,
GF3,683LSDEV,"BIO,MEDS",uW/cm^2/nm/sr,,,,,,,uW/cm^2/nm/sr,,,,,,,,,,683LSDEV,
GF3,ABA$,MEDS,,,,,,,,,,,,,,,,,,ABA$,
GF3,ABSH,"BIO,IML,MEDS",g/m^3|gram per metre cube,,,,,CHUMZZ01,,g/m^3,,,specific_humidity,SDN:P01::CHUMZZ01,Relative humidity of the atmosphere,SDN:P06::UGMC,Grams per cubic metre,Relative humidity of the atmosphere,,ABSH,RelHumidity
GF3,AC2$,MEDS,,,,,,,,,,,,,,,,,,AC2$,
GF3,ACC$,MEDS,,,,,,,,,,,,,,,,,,ACC$,
GF3,ACCM,MEDS,,,,,,,,,,,,,,,,,,ACCM,
GF3,ACCS,MEDS,,,,,,,,,,,,,,,,,,ACCS,
GF3,ACF$,MEDS,,,,,,,,,,,,,,,,,,ACF$,
GF3,ACI$,MEDS,,,,,,,,,,,,,,,,,,ACI$,
GF3,ACT$,MEDS,,,,,,,,,,,,,,,,,,ACT$,
GF3,ACY$,MEDS,,,,,,,,,,,,,,,,,,ACY$,
GF3,ADID,MEDS,,,,,,,,,,,,,,,,,,ADID,
GF3,ADNB,MEDS,,,,,,,,,,,,,,,,,,ADNB,
GF3,ADNS,MEDS,,,,,,,,,,,,,,,,,,ADNS,
GF3,ADST,MEDS,,,,,,,,,,,,,,,,,,ADST,
GF3,ADSV,MEDS,,,,,,,,,,,,,,,,,,ADSV,
GF3,AED1,MEDS,degree,,,,,,,degree,,,,,,SDN:P06::UAAA,Degrees,,,AED1,
GF3,AFN$,MEDS,,,,,,,,,,,,,,,,,,AFN$,
GF3,ALKC,MEDS,micromole per kilogram,,,,,,,micromole per kilogram,,,,,,SDN:P06::KGUM,Micromoles per kilogram,,,ALKC,
GF3,ALKP,MEDS,micromole per kilogram,,,,,,,micromole per kilogram,,,,,,SDN:P06::KGUM,Micromoles per kilogram,,,ALKP,
GF3,ALKT,MEDS,micromole per kilogram,,,,,,,micromole per kilogram,,,,,,SDN:P06::KGUM,Micromoles per kilogram,,,ALKT,
GF3,ALKY,"BIO,IML,MEDS",mmol/m^3|millimole per metre cube,,,,,ALKYZZXX,,mmol/m^3,,,,SDN:P01::ALKYZZXX,Total alkalinity per unit volume of the water body,SDN:P06::MMCM,Millimoles per cubic metre,Total alkalinity per unit volume of the water body,,ALKY,TotAlk/l
GF3,ALKW,IML,umol/kg,,bottle|sample,,,,,umol/kg,bottle,,sea_water_alkalinity_expressed_as_mole_equivalent,,,SDN:P06::KGUM,Micromoles per kilogram,,,,
GF3,ALLO,BIO,milligram per metre cube,,,,,,,milligram per metre cube,,,,,,,,,,ALLO,
GF3,ALPO,"BIO,IML",m^3/ kg|metre cube per kilogram,,,,,,,m^3/ kg,,,,,,,,,,ALPO,
GF3,ALTB,"BIO,MEDS",m|metre|metres,,,,,,,m,,,,,,SDN:P06::ULAA,Metres,,,ALTB,
GF3,ALTG,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,ALTG,
GF3,ALTS,"BIO,IML,MEDS",metre,,,,,AHSLZZ01,,metre,,,,SDN:P01::AHSLZZ01,Height (spatial coordinate) relative to sea level,SDN:P06::ULAA,Metres,Height (spatial coordinate) relative to sea level,,ALTS,HeightAboveSeaLevel
GF3,AMON,"BIO,IML,MEDS",mmol/m^3|millimole per metre cube,,bottle,,,AMONZZXX,,mmol/m^3,bottle,,,SDN:P01::AMONZZXX,Concentration of ammonium {NH4+ CAS 14798-03-9} per unit volume of the water body [unknown phase],SDN:P06::MMCM,Millimoles per cubic metre,,,AMON,NH4
GF3,ANH$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,ANH$,
GF3,ANT$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,ANT$,
GF3,APC1,MEDS,minute,,,,,,,minute,,,,,,SDN:P06::UMIN,Minutes,,,APC1,
GF3,APER,MEDS,,,,,,,,,,,,,,,,,,APER,
GF3,APN$,MEDS,,,,,,,,,,,,,,,,,,APN$,
GF3,APP$,MEDS,count,,,,,,,count,,,,,,SDN:P06::UCNT,Counts,,,APP$,
GF3,APR$,MEDS,,,,,,,,,,,,,,,,,,APR$,
GF3,APS1,MEDS,minute,,,,,,,minute,,,,,,SDN:P06::UMIN,Minutes,,,APS1,
GF3,APT1,MEDS,minute,,,,,,,minute,,,,,,SDN:P06::UMIN,Minutes,,,APT1,
GF3,AQA$,MEDS,,,,,,,,,,,,,,,,,,AQA$,
GF3,AREA,MEDS,,,,,,,,,,,,,,,,,,AREA,
GF3,ARG$,MEDS,,,,,,,,,,,,,,,,,,ARG$,
